,num_firms,total_market_cap,total_presentvalue_marketcap,return
count,13983.0,13983.0,13983.0,13983.0
mean,50.2648930844597,813527094976.017,986663816853.66,0.005601063009230481
std,66.40042875340846,1508845785023.0684,1676519556576.3271,0.07818605108735037
min,10.0,209363347.6,264982407.23257947,-0.8878669082719844
25%,16.0,26585115277.15,32921063049.25898,-0.03240475155873328
50%,29.0,307471966815.0,409889348294.8134,0.009419472789537128
75%,55.0,948375666712.3,1208356697698.2617,0.04459258270758221
max,544.0,16790272273225.8,16897494379026.05,2.129132824146744
