,num_firms,total_market_cap,total_presentvalue_marketcap,return
count,18021.0,18021.0,18021.0,18021.0
mean,55.01514899284169,676203962144.2284,818076111769.0417,0.010375923430078033
std,68.91403742394643,1343102413265.12,1502946245266.2742,0.06680918290752659
min,10.0,1467482190.0,2063806635.6978493,-0.636662034249678
25%,20.0,52477883040.0,66875304846.19973,-0.02712272929316351
50%,33.0,209736012349.2,267004433445.9979,0.012678787850922054
75%,57.0,709629309580.0,863507211228.4434,0.04741249981043206
max,539.0,16753236722255.8,16831832828245.84,0.6762681569303398
