,industry_name,key,num_firms,total_market_cap,total_presentvalue_marketcap,gvkeys,marketcap_id
23,Business Services - Small Cap,34,49,361170881.3,361170881.3,"[20269.0, 5050.0, 65905.0, 62302.0, 175299.0, 130498.0, 9376.0, 63516.0, 154134.0, 176082.0, 61321.0, 61836.0, 21663.0, 163708.0, 176768.0, 106957.0, 176722.0, 163058.0, 63938.0, 140172.0, 63337.0, 40564.0, 107762.0, 106126.0, 13316.0, 178882.0, 122202.0, 110529.0, 25540.0, 122148.0, 106272.0, 155941.0, 65595.0, 137356.0, 66010.0, 64021.0, 108557.0, 152990.0, 155894.0, 19253.0, 161103.0, 141308.0, 141537.0, 114188.0, 106229.0, 176304.0, 142539.0, 178494.0, 174140.0]",small_cap
24,Business Supplies,38,19,96341509743.5,96341509743.5,"[6435.0, 6104.0, 1913.0, 14062.0, 16477.0, 210701.0, 5690.0, 20860.0, 7401.0, 14065.0, 4390.0, 165827.0, 15083.0, 14563.0, 11185.0, 166792.0, 108816.0, 176867.0, 1397.0]",all
30,Chemicals,14,63,630932359489.45,630932359489.45,"[25124.0, 9667.0, 1209.0, 100080.0, 16582.0, 241336.0, 8247.0, 6078.0, 4060.0, 29751.0, 8902.0, 163946.0, 160684.0, 162129.0, 29392.0, 4462.0, 5608.0, 1979.0, 162254.0, 276585.0, 112759.0, 11012.0, 2593.0, 20185.0, 4926.0, 13971.0, 28194.0, 1794.0, 11234.0, 8123.0, 25870.0, 110566.0, 162401.0, 4510.0, 144475.0, 179163.0, 1864.0, 61519.0, 164363.0, 6528.0, 163113.0, 28347.0, 157354.0, 106233.0, 140982.0, 12578.0, 163595.0, 164169.0, 156578.0, 65937.0, 1585.0, 20525.0, 162453.0, 126010.0, 19209.0, 24797.0, 112617.0, 25360.0, 25935.0, 63448.0, 15027.0, 25809.0, 21986.0]",all
31,Chemicals - Large Cap,14,12,531537980005.0,531537980005.0,"[25124.0, 9667.0, 1209.0, 100080.0, 16582.0, 241336.0, 8247.0, 6078.0, 4060.0, 29751.0, 8902.0, 163946.0]",large_cap
32,Chemicals - Small Cap,14,12,479140439.45,479140439.45,"[20525.0, 162453.0, 126010.0, 19209.0, 24797.0, 112617.0, 25360.0, 25935.0, 63448.0, 15027.0, 25809.0, 21986.0]",small_cap
36,Communication,32,62,943380383382.3,943380383382.3,"[3980.0, 9899.0, 2136.0, 3226.0, 164296.0, 126136.0, 2137.0, 2408.0, 179202.0, 9215.0, 220579.0, 13714.0, 135484.0, 30024.0, 2884.0, 175523.0, 30662.0, 149177.0, 64088.0, 10411.0, 4988.0, 14369.0, 8870.0, 160549.0, 176652.0, 28555.0, 62396.0, 147204.0, 178741.0, 244641.0, 60800.0, 9664.0, 3105.0, 12485.0, 20315.0, 24708.0, 14535.0, 24844.0, 123435.0, 62549.0, 5284.0, 111974.0, 27790.0, 7863.0, 125996.0, 65365.0, 177779.0, 15337.0, 108456.0, 13970.0, 161794.0, 121817.0, 124355.0, 120301.0, 123415.0, 129823.0, 106101.0, 105364.0, 112030.0, 140167.0, 160555.0, 140639.0]",all
37,Communication - Large Cap,32,12,864348893800.0,864348893800.0,"[3980.0, 9899.0, 2136.0, 3226.0, 164296.0, 126136.0, 2137.0, 2408.0, 179202.0, 9215.0, 220579.0, 13714.0]",large_cap
38,Communication - Small Cap,32,12,52796349.7,52796349.7,"[161794.0, 121817.0, 124355.0, 120301.0, 123415.0, 129823.0, 106101.0, 105364.0, 112030.0, 140167.0, 160555.0, 140639.0]",small_cap
39,Computers,35,44,735126128489.64,735126128489.64,"[20779.0, 11399.0, 150937.0, 14489.0, 13824.0, 176928.0, 165123.0, 61591.0, 5606.0, 10789.0, 21864.0, 176567.0, 121077.0, 102696.0, 24405.0, 2596.0, 109826.0, 10991.0, 3946.0, 119574.0, 122902.0, 8606.0, 16710.0, 30847.0, 135965.0, 135844.0, 11636.0, 138467.0, 2504.0, 2573.0, 65552.0, 8867.0, 30030.0, 1820.0, 63520.0, 133949.0, 25773.0, 146734.0, 105832.0, 105668.0, 175342.0, 30398.0, 108630.0, 106789.0]",all
42,Construction,18,29,329434378227.5,329434378227.5,"[66446.0, 25340.0, 64997.0, 6223.0, 6669.0, 8823.0, 12459.0, 2497.0, 12395.0, 4115.0, 5559.0, 66371.0, 175686.0, 4818.0, 21429.0, 14790.0, 12689.0, 8486.0, 12615.0, 105517.0, 19987.0, 31617.0, 148223.0, 29755.0, 5750.0, 179132.0, 23195.0, 174282.0, 61411.0]",all
