,industry_name,key,num_firms,total_market_cap,total_presentvalue_marketcap,gvkeys,marketcap_id
72,Insurance,45,95,2111661490221.6,2111661490221.6,"[10903.0, 13341.0, 28034.0, 7065.0, 145046.0, 3221.0, 2547.0, 4973.0, 62689.0, 160709.0, 124042.0, 1449.0, 28349.0, 133768.0, 1487.0, 16431.0, 16428.0, 143356.0, 61739.0, 162491.0, 61302.0, 133289.0, 144009.0, 8702.0, 27914.0, 15417.0, 12909.0, 14822.0, 14824.0, 6781.0, 145552.0, 165264.0, 61388.0, 28216.0, 61380.0, 12726.0, 61406.0, 2558.0, 157057.0, 129472.0, 8431.0, 14828.0, 10614.0, 152149.0, 6742.0, 153130.0, 24379.0, 61408.0, 13342.0, 17035.0, 11729.0, 17115.0, 25895.0, 157955.0, 16426.0, 12603.0, 158354.0, 24225.0, 157353.0, 21503.0, 10086.0, 24678.0, 24440.0, 148469.0, 176591.0, 26016.0, 17252.0, 164572.0, 177640.0, 178823.0, 176973.0, 14401.0, 61743.0, 13561.0, 24287.0, 6333.0, 156384.0, 16775.0, 4485.0, 3581.0, 17180.0, 19021.0, 6791.0, 22338.0, 174389.0, 108559.0, 16714.0, 166582.0, 16671.0, 124395.0, 25923.0, 175548.0, 1097.0, 151063.0, 142820.0]",all
73,Insurance - Large Cap,45,19,1504961309860.0,1504961309860.0,"[10903.0, 13341.0, 28034.0, 7065.0, 145046.0, 3221.0, 2547.0, 4973.0, 62689.0, 160709.0, 124042.0, 1449.0, 28349.0, 133768.0, 1487.0, 16431.0, 16428.0, 143356.0, 61739.0]",large_cap
74,Insurance - Small Cap,45,19,2300751215.0,2300751215.0,"[156384.0, 16775.0, 4485.0, 3581.0, 17180.0, 19021.0, 6791.0, 22338.0, 174389.0, 108559.0, 16714.0, 166582.0, 16671.0, 124395.0, 25923.0, 175548.0, 1097.0, 151063.0, 142820.0]",small_cap
75,Machinery,21,87,1432892589635.002,1432892589635.002,"[2817.0, 6565.0, 1704.0, 3835.0, 5959.0, 6268.0, 5878.0, 3650.0, 30098.0, 4058.0, 8463.0, 122380.0, 5860.0, 164557.0, 5252.0, 7921.0, 15267.0, 6737.0, 137573.0, 10016.0, 5087.0, 4108.0, 25180.0, 10618.0, 13570.0, 7486.0, 21542.0, 10581.0, 63892.0, 2444.0, 65009.0, 7991.0, 25922.0, 29478.0, 64624.0, 137602.0, 6509.0, 6386.0, 1050.0, 27960.0, 142956.0, 1706.0, 28903.0, 11124.0, 65671.0, 10441.0, 31424.0, 5237.0, 14954.0, 12262.0, 28295.0, 62221.0, 6994.0, 14064.0, 142260.0, 160453.0, 7658.0, 10777.0, 14898.0, 20392.0, 10349.0, 8864.0, 7185.0, 4497.0, 137373.0, 5788.0, 115411.0, 179249.0, 29894.0, 10740.0, 65867.0, 28819.0, 62819.0, 122775.0, 160291.0, 2581.0, 108507.0, 15327.0, 162462.0, 1783.0, 176785.0, 66579.0, 106627.0, 12807.0, 152968.0, 25712.0, 148749.0]",all
76,Machinery - Large Cap,21,17,1275772056150.0,1275772056150.0,"[2817.0, 6565.0, 1704.0, 3835.0, 5959.0, 6268.0, 5878.0, 3650.0, 30098.0, 4058.0, 8463.0, 122380.0, 5860.0, 164557.0, 5252.0, 7921.0, 15267.0]",large_cap
77,Machinery - Small Cap,21,17,322060633.502,322060633.502,"[65867.0, 28819.0, 62819.0, 122775.0, 160291.0, 2581.0, 108507.0, 15327.0, 162462.0, 1783.0, 176785.0, 66579.0, 106627.0, 12807.0, 152968.0, 25712.0, 148749.0]",small_cap
78,Measuring and Control Equipment,37,53,963877439478.228,963877439478.228,"[10530.0, 3735.0, 6304.0, 4321.0, 1598.0, 126554.0, 10453.0, 14561.0, 65772.0, 61574.0, 138205.0, 22815.0, 100174.0, 4145.0, 119275.0, 63186.0, 133905.0, 126423.0, 138483.0, 2220.0, 16188.0, 1968.0, 23224.0, 133564.0, 148390.0, 29133.0, 3158.0, 65286.0, 62217.0, 4900.0, 7275.0, 177879.0, 65896.0, 6410.0, 64915.0, 31214.0, 166583.0, 31775.0, 141469.0, 3761.0, 178198.0, 114203.0, 108532.0, 4275.0, 22729.0, 66429.0, 178303.0, 9490.0, 61766.0, 64645.0, 143788.0, 125600.0, 145027.0]",all
79,Measuring and Control Equipment - Large Cap,37,10,809872010550.0,809872010550.0,"[10530.0, 3735.0, 6304.0, 4321.0, 1598.0, 126554.0, 10453.0, 14561.0, 65772.0, 61574.0]",large_cap
80,Measuring and Control Equipment - Small Cap,37,10,71932145.428,71932145.428,"[4275.0, 22729.0, 66429.0, 178303.0, 9490.0, 61766.0, 64645.0, 143788.0, 125600.0, 145027.0]",small_cap
81,Medical Equipment,12,74,1163651367216.4,1163651367216.4,"[1078.0, 136725.0, 25279.0, 10115.0, 7228.0, 2111.0, 133366.0, 31887.0, 162887.0, 25313.0, 177227.0, 144559.0, 20904.0, 3504.0, 141384.0, 2086.0, 177881.0, 7420.0, 10407.0, 21777.0, 65607.0, 24021.0, 25110.0, 27810.0, 166555.0, 140073.0, 13700.0, 27823.0, 163889.0, 174390.0, 29449.0, 13623.0, 143282.0, 9969.0, 61181.0, 28380.0, 264387.0, 162146.0, 64327.0, 140023.0, 13239.0, 166430.0, 160375.0, 23623.0, 11051.0, 1104.0, 12719.0, 12458.0, 176670.0, 63029.0, 12597.0, 3807.0, 151423.0, 163965.0, 66366.0, 107038.0, 65070.0, 165750.0, 29319.0, 143526.0, 61496.0, 62168.0, 178847.0, 165514.0, 176503.0, 116903.0, 164293.0, 21116.0, 129441.0, 63122.0, 27983.0, 144381.0, 25711.0, 4124.0]",all
82,Medical Equipment - Large Cap,12,14,1078751267890.0,1078751267890.0,"[1078.0, 136725.0, 25279.0, 10115.0, 7228.0, 2111.0, 133366.0, 31887.0, 162887.0, 25313.0, 177227.0, 144559.0, 20904.0, 3504.0]",large_cap
83,Medical Equipment - Small Cap,12,14,128277410.9,128277410.9,"[61496.0, 62168.0, 178847.0, 165514.0, 176503.0, 116903.0, 164293.0, 21116.0, 129441.0, 63122.0, 27983.0, 144381.0, 25711.0, 4124.0]",small_cap
84,Non-Metallic and Industrial Metal Mining,28,303,721557615712.823,721557615712.823,"[13312.0, 61811.0, 220509.0, 14590.0, 212427.0, 24370.0, 11228.0, 29733.0, 10385.0, 106464.0, 108297.0, 212658.0, 107781.0, 126634.0, 165798.0, 107712.0, 8947.0, 247885.0, 64775.0, 179107.0, 25092.0, 106503.0, 130525.0, 66431.0, 20500.0, 107194.0, 107637.0, 124199.0, 177887.0, 153129.0, 157153.0, 31602.0, 107150.0, 174280.0, 118441.0, 165637.0, 27545.0, 64562.0, 272833.0, 166504.0, 160703.0, 107032.0, 264426.0, 155225.0, 137862.0, 64517.0, 107561.0, 65349.0, 161860.0, 142606.0, 24627.0, 178735.0, 118181.0, 177626.0, 105341.0, 140615.0, 66170.0, 64935.0, 107578.0, 106680.0, 110774.0, 285660.0, 106864.0, 179124.0, 107298.0, 106629.0, 140387.0, 106351.0, 6233.0, 105489.0, 106996.0, 107393.0, 106861.0, 274075.0, 165773.0, 106045.0, 153815.0, 107551.0, 165535.0, 106998.0, 135145.0, 105249.0, 164065.0, 177851.0, 107075.0, 138020.0, 13558.0, 107503.0, 25960.0, 106003.0, 175514.0, 63075.0, 182979.0, 20529.0, 150730.0, 21859.0, 108493.0, 108344.0, 30473.0, 66495.0, 162973.0, 106051.0, 107965.0, 121376.0, 141137.0, 106363.0, 105335.0, 106049.0, 105615.0, 140191.0, 141302.0, 164540.0, 163797.0, 137091.0, 145022.0, 152752.0, 106849.0, 108281.0, 176227.0, 165676.0, 140402.0, 106098.0, 175359.0, 107134.0, 175304.0, 105673.0, 105475.0, 176185.0, 21951.0, 105609.0, 107859.0, 26353.0, 106390.0, 106419.0, 160673.0, 127616.0, 176529.0, 108045.0, 107613.0, 143055.0, 177443.0, 179143.0, 22570.0, 106689.0, 21879.0, 107057.0, 143299.0, 140207.0, 166505.0, 176751.0, 108585.0, 106026.0, 165896.0, 66072.0, 105435.0, 156353.0, 164334.0, 165490.0, 156866.0, 108479.0, 107445.0, 140237.0, 158788.0, 119920.0, 157573.0, 106450.0, 178094.0, 177551.0, 105630.0, 178657.0, 175012.0, 108688.0, 106527.0, 107825.0, 106353.0, 178253.0, 165210.0, 108650.0, 107693.0, 108291.0, 134824.0, 108144.0, 65966.0, 107048.0, 31698.0, 107634.0, 106324.0, 28402.0, 178734.0, 26189.0, 105603.0, 106064.0, 143135.0, 105983.0, 178037.0, 144077.0, 178251.0, 164121.0, 107363.0, 140070.0, 160715.0, 106529.0, 140233.0, 109682.0, 65075.0, 105460.0, 105573.0, 164630.0, 105712.0, 105413.0, 162554.0, 106357.0, 116849.0, 141761.0, 64203.0, 105938.0, 31626.0, 183316.0, 129520.0, 106621.0, 107391.0, 66467.0, 154037.0, 142229.0, 108080.0, 106603.0, 162596.0, 21941.0, 108383.0, 66427.0, 65688.0, 176958.0, 108237.0, 140341.0, 108328.0, 162640.0, 108884.0, 106870.0, 164723.0, 106457.0, 176380.0, 108732.0, 64551.0, 106089.0, 107651.0, 107744.0, 2777.0, 264229.0, 163743.0, 111730.0, 155515.0, 166669.0, 141810.0, 107217.0, 105248.0, 106752.0, 141722.0, 106995.0, 106234.0, 106071.0, 176193.0, 105901.0, 105429.0, 105266.0, 26675.0, 108359.0, 107915.0, 176230.0, 105247.0, 127380.0, 151593.0, 176477.0, 106670.0, 163086.0, 106456.0, 178388.0, 107920.0, 107592.0, 106661.0, 141812.0, 175071.0, 165561.0, 164262.0, 105856.0, 107469.0, 108665.0, 105997.0, 106016.0, 105452.0, 65837.0, 65259.0, 107390.0, 177798.0, 166253.0, 106941.0, 106000.0, 105711.0, 176647.0, 105334.0, 106683.0, 140248.0, 147086.0, 20585.0]",all
85,Non-Metallic and Industrial Metal Mining - Large Cap,28,60,714867306853.675,714867306853.675,"[13312.0, 61811.0, 220509.0, 14590.0, 212427.0, 24370.0, 11228.0, 29733.0, 10385.0, 106464.0, 108297.0, 212658.0, 107781.0, 126634.0, 165798.0, 107712.0, 8947.0, 247885.0, 64775.0, 179107.0, 25092.0, 106503.0, 130525.0, 66431.0, 20500.0, 107194.0, 107637.0, 124199.0, 177887.0, 153129.0, 157153.0, 31602.0, 107150.0, 174280.0, 118441.0, 165637.0, 27545.0, 64562.0, 272833.0, 166504.0, 160703.0, 107032.0, 264426.0, 155225.0, 137862.0, 64517.0, 107561.0, 65349.0, 161860.0, 142606.0, 24627.0, 178735.0, 118181.0, 177626.0, 105341.0, 140615.0, 66170.0, 64935.0, 107578.0, 106680.0]",large_cap
86,Non-Metallic and Industrial Metal Mining - Small Cap,28,60,76393051.914,76393051.914,"[106089.0, 107651.0, 107744.0, 2777.0, 264229.0, 163743.0, 111730.0, 155515.0, 166669.0, 141810.0, 107217.0, 105248.0, 106752.0, 141722.0, 106995.0, 106234.0, 106071.0, 176193.0, 105901.0, 105429.0, 105266.0, 26675.0, 108359.0, 107915.0, 176230.0, 105247.0, 127380.0, 151593.0, 176477.0, 106670.0, 163086.0, 106456.0, 178388.0, 107920.0, 107592.0, 106661.0, 141812.0, 175071.0, 165561.0, 164262.0, 105856.0, 107469.0, 108665.0, 105997.0, 106016.0, 105452.0, 65837.0, 65259.0, 107390.0, 177798.0, 166253.0, 106941.0, 106000.0, 105711.0, 176647.0, 105334.0, 106683.0, 140248.0, 147086.0, 20585.0]",small_cap
87,Personal Services,33,28,137120751480.3,137120751480.3,"[3062.0, 9611.0, 9299.0, 65275.0, 2269.0, 3278.0, 3905.0, 11300.0, 126474.0, 178976.0, 66379.0, 63338.0, 5600.0, 156633.0, 109919.0, 1393.0, 163668.0, 178797.0, 63456.0, 65732.0, 24350.0, 162891.0, 145308.0, 25331.0, 9023.0, 65418.0, 144667.0, 143712.0]",all
90,Petroleum and Natural Gas,30,149,1690076107293.0,1690076107293.0,"[4503.0, 2991.0, 8549.0, 15055.0, 112876.0, 9465.0, 16478.0, 15070.0, 15247.0, 5903.0, 29453.0, 8068.0, 4430.0, 27786.0, 5439.0, 14934.0, 20548.0, 105239.0, 11781.0, 122194.0, 1678.0, 5667.0, 6788.0, 4367.0, 120093.0, 28338.0, 11925.0, 7620.0, 26069.0, 2270.0, 106156.0, 181105.0, 5581.0, 178672.0, 154774.0, 20676.0, 29135.0, 8079.0, 8850.0, 29108.0, 26013.0, 142337.0, 166477.0, 166563.0, 22447.0, 165846.0, 106062.0, 142443.0, 27265.0, 30075.0, 21237.0, 8901.0, 174395.0, 20695.0, 64107.0, 65006.0, 105786.0, 1661.0, 62961.0, 61759.0, 175616.0, 66318.0, 184744.0, 176899.0, 271424.0, 27813.0, 114211.0, 20684.0, 176103.0, 7422.0, 27199.0, 27013.0, 160327.0, 105222.0, 10877.0, 6311.0, 12198.0, 163822.0, 108349.0, 160341.0, 163712.0, 147183.0, 64568.0, 176840.0, 108163.0, 164046.0, 5583.0, 62626.0, 125238.0, 20300.0, 20323.0, 26028.0, 178674.0, 155224.0, 165554.0, 146659.0, 26131.0, 105590.0, 3806.0, 177938.0, 119013.0, 10938.0, 62311.0, 29769.0, 22010.0, 22962.0, 65464.0, 24131.0, 176319.0, 7309.0, 174169.0, 108777.0, 106210.0, 176408.0, 2052.0, 163640.0, 105646.0, 108286.0, 11779.0, 110166.0, 164391.0, 107280.0, 140623.0, 106443.0, 105596.0, 106638.0, 105659.0, 65511.0, 65274.0, 163949.0, 20601.0, 28791.0, 175006.0, 12088.0, 163607.0, 176814.0, 110381.0, 19692.0, 108841.0, 164218.0, 107506.0, 106582.0, 109761.0, 108014.0, 107359.0, 123098.0, 105229.0, 177926.0, 175118.0]",all
91,Petroleum and Natural Gas - Large Cap,30,29,1622366296252.0,1622366296252.0,"[4503.0, 2991.0, 8549.0, 15055.0, 112876.0, 9465.0, 16478.0, 15070.0, 15247.0, 5903.0, 29453.0, 8068.0, 4430.0, 27786.0, 5439.0, 14934.0, 20548.0, 105239.0, 11781.0, 122194.0, 1678.0, 5667.0, 6788.0, 4367.0, 120093.0, 28338.0, 11925.0, 7620.0, 26069.0]",large_cap
92,Petroleum and Natural Gas - Small Cap,30,29,92837896.10000001,92837896.10000001,"[164391.0, 107280.0, 140623.0, 106443.0, 105596.0, 106638.0, 105659.0, 65511.0, 65274.0, 163949.0, 20601.0, 28791.0, 175006.0, 12088.0, 163607.0, 176814.0, 110381.0, 19692.0, 108841.0, 164218.0, 107506.0, 106582.0, 109761.0, 108014.0, 107359.0, 123098.0, 105229.0, 177926.0, 175118.0]",small_cap
93,Pharmaceutical Products,13,171,3071838285132.465,3071838285132.465,"[6730.0, 6266.0, 7257.0, 1602.0, 24856.0, 8530.0, 101204.0, 24344.0, 2403.0, 23812.0, 24197.0, 264265.0, 136186.0, 24468.0, 121440.0, 29127.0, 7637.0, 62921.0, 24040.0, 133885.0, 122257.0, 177287.0, 12181.0, 15414.0, 28806.0, 151630.0, 158563.0, 61711.0, 24302.0, 141846.0, 175008.0, 25937.0, 146616.0, 162335.0, 175966.0, 29955.0, 64857.0, 117829.0, 7526.0, 24782.0, 64334.0, 176636.0, 141496.0, 160340.0, 29837.0, 16453.0, 253527.0, 160668.0, 14269.0, 17199.0, 61655.0, 62475.0, 30137.0, 63405.0, 133468.0, 177228.0, 176022.0, 61399.0, 106261.0, 166435.0, 65376.0, 133868.0, 176992.0, 24996.0, 7799.0, 63863.0, 164720.0, 144887.0, 12252.0, 166447.0, 62169.0, 25578.0, 12713.0, 260838.0, 150221.0, 143909.0, 13786.0, 12818.0, 155387.0, 61174.0, 12915.0, 178413.0, 62592.0, 138781.0, 133871.0, 28209.0, 66697.0, 170450.0, 106808.0, 129466.0, 12717.0, 14983.0, 137642.0, 126122.0, 25027.0, 27939.0, 254096.0, 162892.0, 65944.0, 13235.0, 157865.0, 12711.0, 22817.0, 161840.0, 137441.0, 65280.0, 119615.0, 178291.0, 109822.0, 10902.0, 152008.0, 140042.0, 29086.0, 166491.0, 107843.0, 160997.0, 127514.0, 9330.0, 13765.0, 145577.0, 264430.0, 4632.0, 112968.0, 175505.0, 118183.0, 165266.0, 13484.0, 63030.0, 138341.0, 2990.0, 61880.0, 127034.0, 3691.0, 119297.0, 63446.0, 65703.0, 7662.0, 155913.0, 160809.0, 165215.0, 177764.0, 63562.0, 175424.0, 153957.0, 148239.0, 106854.0, 144650.0, 31102.0, 153893.0, 25750.0, 12575.0, 62525.0, 154605.0, 27906.0, 175601.0, 64717.0, 4409.0, 31418.0, 22401.0, 146539.0, 186772.0, 105331.0, 24036.0, 108767.0, 148429.0, 21187.0, 175649.0, 61140.0, 176600.0, 29165.0, 23570.0]",all
94,Pharmaceutical Products - Large Cap,13,34,3025530256640.0,3025530256640.0,"[6730.0, 6266.0, 7257.0, 1602.0, 24856.0, 8530.0, 101204.0, 24344.0, 2403.0, 23812.0, 24197.0, 264265.0, 136186.0, 24468.0, 121440.0, 29127.0, 7637.0, 62921.0, 24040.0, 133885.0, 122257.0, 177287.0, 12181.0, 15414.0, 28806.0, 151630.0, 158563.0, 61711.0, 24302.0, 141846.0, 175008.0, 25937.0, 146616.0, 162335.0]",large_cap
95,Pharmaceutical Products - Small Cap,13,34,119915618.125,119915618.125,"[155913.0, 160809.0, 165215.0, 177764.0, 63562.0, 175424.0, 153957.0, 148239.0, 106854.0, 144650.0, 31102.0, 153893.0, 25750.0, 12575.0, 62525.0, 154605.0, 27906.0, 175601.0, 64717.0, 4409.0, 31418.0, 22401.0, 146539.0, 186772.0, 105331.0, 24036.0, 108767.0, 148429.0, 21187.0, 175649.0, 61140.0, 176600.0, 29165.0, 23570.0]",small_cap
96,Precious Metals,27,170,598961769237.42,598961769237.42,"[7881.0, 1186.0, 2055.0, 105861.0, 8644.0, 259543.0, 20670.0, 65744.0, 123455.0, 5560.0, 108804.0, 3153.0, 62337.0, 108768.0, 143297.0, 26539.0, 106112.0, 20007.0, 107710.0, 260651.0, 179060.0, 27519.0, 178874.0, 26768.0, 175230.0, 20600.0, 106203.0, 107098.0, 160779.0, 108265.0, 107245.0, 128765.0, 108326.0, 108110.0, 9728.0, 13400.0, 106225.0, 144183.0, 107005.0, 66246.0, 166218.0, 108510.0, 140394.0, 13520.0, 163746.0, 176133.0, 28852.0, 160862.0, 17041.0, 106681.0, 149560.0, 65635.0, 26914.0, 12321.0, 5205.0, 20646.0, 149603.0, 166286.0, 178675.0, 139227.0, 20629.0, 107447.0, 133471.0, 149819.0, 141307.0, 175503.0, 133947.0, 106465.0, 107340.0, 132358.0, 126036.0, 176368.0, 64941.0, 108209.0, 108264.0, 22002.0, 176786.0, 23731.0, 108288.0, 118521.0, 20811.0, 12860.0, 162376.0, 105522.0, 106666.0, 178290.0, 108722.0, 176854.0, 140383.0, 26141.0, 63332.0, 122272.0, 175474.0, 106701.0, 106803.0, 106510.0, 65366.0, 66560.0, 179157.0, 163871.0, 164073.0, 165672.0, 108543.0, 107632.0, 175495.0, 142090.0, 107593.0, 64636.0, 108233.0, 157481.0, 145102.0, 107158.0, 127636.0, 65804.0, 20876.0, 273614.0, 177044.0, 175664.0, 106227.0, 107749.0, 140187.0, 27648.0, 114487.0, 166219.0, 107285.0, 175661.0, 105810.0, 20864.0, 105751.0, 160849.0, 107143.0, 156738.0, 142885.0, 105594.0, 177451.0, 116385.0, 106837.0, 140367.0, 106871.0, 106632.0, 157475.0, 65921.0, 165738.0, 174059.0, 65119.0, 26639.0, 177942.0, 142501.0, 177425.0, 106070.0, 179168.0, 106199.0, 106649.0, 157359.0, 140719.0, 145892.0, 105572.0, 141309.0, 65188.0, 26236.0, 140398.0, 147618.0, 108292.0, 176340.0, 162893.0, 107476.0, 162066.0, 178720.0, 106482.0, 106561.0]",all
97,Precious Metals - Large Cap,27,34,583509067965.0,583509067965.0,"[7881.0, 1186.0, 2055.0, 105861.0, 8644.0, 259543.0, 20670.0, 65744.0, 123455.0, 5560.0, 108804.0, 3153.0, 62337.0, 108768.0, 143297.0, 26539.0, 106112.0, 20007.0, 107710.0, 260651.0, 179060.0, 27519.0, 178874.0, 26768.0, 175230.0, 20600.0, 106203.0, 107098.0, 160779.0, 108265.0, 107245.0, 128765.0, 108326.0, 108110.0]",large_cap
98,Precious Metals - Small Cap,27,34,96653044.395,96653044.395,"[106837.0, 140367.0, 106871.0, 106632.0, 157475.0, 65921.0, 165738.0, 174059.0, 65119.0, 26639.0, 177942.0, 142501.0, 177425.0, 106070.0, 179168.0, 106199.0, 106649.0, 157359.0, 140719.0, 145892.0, 105572.0, 141309.0, 65188.0, 26236.0, 140398.0, 147618.0, 108292.0, 176340.0, 162893.0, 107476.0, 162066.0, 178720.0, 106482.0, 106561.0]",small_cap
99,Printing and Publishing,8,11,15072350410.0,15072350410.0,"[7866.0, 11499.0, 3863.0, 9466.0, 11099.0, 5224.0, 155313.0, 6639.0, 106609.0, 22448.0, 148851.0]",all
102,Real Estate,46,50,122160749504.65001,122160749504.65001,"[260774.0, 205655.0, 65108.0, 28485.0, 174729.0, 22970.0, 65084.0, 31411.0, 163968.0, 25632.0, 179077.0, 155613.0, 1096.0, 3410.0, 15096.0, 12926.0, 7117.0, 15059.0, 8826.0, 1545.0, 5246.0, 14924.0, 25462.0, 14639.0, 10629.0, 113421.0, 161072.0, 1618.0, 141257.0, 155519.0, 7138.0, 2735.0, 122160.0, 4707.0, 182497.0, 110963.0, 111003.0, 115813.0, 14394.0, 5395.0, 105941.0, 22861.0, 15098.0, 65851.0, 112967.0, 139133.0, 165969.0, 11372.0, 31172.0, 10235.0]",all
103,Real Estate - Large Cap,46,10,113984812920.0,113984812920.0,"[260774.0, 205655.0, 65108.0, 28485.0, 174729.0, 22970.0, 65084.0, 31411.0, 163968.0, 25632.0]",large_cap
104,Real Estate - Small Cap,46,10,98556461.25,98556461.25,"[105941.0, 22861.0, 15098.0, 65851.0, 112967.0, 139133.0, 165969.0, 11372.0, 31172.0, 10235.0]",small_cap
105,Recreation,6,16,25174236672.5,25174236672.5,"[5518.0, 7116.0, 163118.0, 24978.0, 62745.0, 4448.0, 130199.0, 22373.0, 164276.0, 61030.0, 27828.0, 6497.0, 4322.0, 156583.0, 30964.0, 162233.0]",all
108,"Restaurants, Hotels, Motels",43,37,583309228378.9,583309228378.9,"[7154.0, 25434.0, 28930.0, 165914.0, 65417.0, 164471.0, 31846.0, 160211.0, 160376.0, 29011.0, 3007.0, 12544.0, 25737.0, 3708.0, 28397.0, 160785.0, 63739.0, 3424.0, 106660.0, 3570.0, 13092.0, 19398.0, 164300.0, 61418.0, 162031.0, 148470.0, 7632.0, 4759.0, 3369.0, 11872.0, 162425.0, 8653.0, 13759.0, 22543.0, 7914.0, 141018.0, 22549.0]",all
111,Retail,42,98,5274805044487.6,5274805044487.6,"[64768.0, 11259.0, 29028.0, 5680.0, 11672.0, 6829.0, 178081.0, 28180.0, 9248.0, 23809.0, 6771.0, 64655.0, 3813.0, 6502.0, 114524.0, 102276.0, 178704.0, 29736.0, 11443.0, 31587.0, 11511.0, 2807.0, 21894.0, 2184.0, 150139.0, 63847.0, 4990.0, 145049.0, 64175.0, 9063.0, 3964.0, 24157.0, 29150.0, 2703.0, 4611.0, 63643.0, 64410.0, 65718.0, 14312.0, 144640.0, 30059.0, 6733.0, 65343.0, 15520.0, 111873.0, 25234.0, 145977.0, 25283.0, 23994.0, 11343.0, 175900.0, 6672.0, 65831.0, 62501.0, 24430.0, 12972.0, 166213.0, 63000.0, 161055.0, 133767.0, 111103.0, 27938.0, 176343.0, 162988.0, 2436.0, 64686.0, 174185.0, 61735.0, 11178.0, 147868.0, 5523.0, 12096.0, 163051.0, 24171.0, 5109.0, 13602.0, 158779.0, 175532.0, 122519.0, 13962.0, 65430.0, 174147.0, 65406.0, 9034.0, 2818.0, 13381.0, 66261.0, 176593.0, 148391.0, 28675.0, 142129.0, 118941.0, 165557.0, 105273.0, 61381.0, 178906.0, 166740.0, 157861.0]",all
112,Retail - Large Cap,42,19,5015327421112.0,5015327421112.0,"[64768.0, 11259.0, 29028.0, 5680.0, 11672.0, 6829.0, 178081.0, 28180.0, 9248.0, 23809.0, 6771.0, 64655.0, 3813.0, 6502.0, 114524.0, 102276.0, 178704.0, 29736.0, 11443.0]",large_cap
113,Retail - Small Cap,42,19,682650175.6,682650175.6,"[13962.0, 65430.0, 174147.0, 65406.0, 9034.0, 2818.0, 13381.0, 66261.0, 176593.0, 148391.0, 28675.0, 142129.0, 118941.0, 165557.0, 105273.0, 61381.0, 178906.0, 166740.0, 157861.0]",small_cap
114,Rubber and Plastic Products,15,11,39682315947.0,39682315947.0,"[11376.0, 28176.0, 9555.0, 148950.0, 7636.0, 266263.0, 14794.0, 4412.0, 62072.0, 31337.0, 65765.0]",all
123,Steel Works Etc,19,31,249890812009.4,249890812009.4,"[3532.0, 8030.0, 64030.0, 2787.0, 10405.0, 12383.0, 64894.0, 15343.0, 3246.0, 3107.0, 103176.0, 62516.0, 2448.0, 11600.0, 24293.0, 29131.0, 5496.0, 10930.0, 4498.0, 61635.0, 15459.0, 29692.0, 10236.0, 4903.0, 122154.0, 1613.0, 146117.0, 151365.0, 62553.0, 64523.0, 140182.0]",all
