,num_firms,total_market_cap,total_presentvalue_marketcap,return
count,6933.0,6933.0,6933.0,6933.0
mean,73.50396653685273,936397323490.5544,1133429944029.9275,0.01260652662553387
std,83.79570403402911,1533323471495.6199,1699317191915.4634,0.06282816493980463
min,10.0,11107263943.5,16896099732.584496,-0.3666324800285108
25%,28.0,172734239951.2,230930712463.9985,-0.023527044184937725
50%,43.0,430833088778.0,542626478070.55615,0.014370104624210482
75%,80.0,1113800333069.4,1397421441094.893,0.04747888202779162
max,533.0,16731915387985.8,16838764828708.229,0.4254647560811296
