,num_firms,total_market_cap,total_presentvalue_marketcap,return
count,13194.0,13194.0,13194.0,13194.0
mean,52.622176747006215,849982756939.1881,1031801960220.2386,0.00588301544997954
std,67.6324954576686,1544354926203.2263,1713892996153.2947,0.07763432036784039
min,10.0,262439132.0,394191471.4197939,-0.8878669082719844
25%,18.0,36109053150.0,51918275931.453415,-0.0317049800771295
50%,31.0,320989976055.0,428483615762.9826,0.00986700989242758
75%,57.0,1020608993292.475,1287978575371.4612,0.04452165741021272
max,544.0,16790272273225.8,16897494379026.05,2.129132824146744
