date,Aircraft,Almost Nothing,Apparel,Automobiles and Trucks,Banking,Banking - Large Cap,Banking - Small Cap,Beer & Liquor,Business Services,Business Services - Large Cap,Business Services - Small Cap,Business Supplies,Chemicals,Chemicals - Large Cap,Chemicals - Small Cap,Communication,Communication - Large Cap,Communication - Small Cap,Computers,Construction,Construction Materials,Construction Materials - Large Cap,Construction Materials - Small Cap,Consumer Goods,Electrical Equipment,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Fabricated Products,Food Products,Healthcare,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Measuring and Control Equipment - Large Cap,Measuring and Control Equipment - Small Cap,Medical Equipment,Medical Equipment - Large Cap,Medical Equipment - Small Cap,Non-Metallic and Industrial Metal Mining,Non-Metallic and Industrial Metal Mining - Large Cap,Non-Metallic and Industrial Metal Mining - Small Cap,Personal Services,Petroleum and Natural Gas,Petroleum and Natural Gas - Large Cap,Petroleum and Natural Gas - Small Cap,Pharmaceutical Products,Pharmaceutical Products - Large Cap,Pharmaceutical Products - Small Cap,Precious Metals,Precious Metals - Large Cap,Precious Metals - Small Cap,Printing and Publishing,Real Estate,Real Estate - Large Cap,Real Estate - Small Cap,Recreation,"Restaurants, Hotels, Motels",Retail,Retail - Large Cap,Retail - Small Cap,Rubber and Plastic Products,Steel Works Etc,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Transportation - Large Cap,Transportation - Small Cap,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale,Wholesale - Large Cap,Wholesale - Small Cap
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,-0.06502604290170247,-0.026813225533581675,-0.05683833638575488,-0.02175214296738867,-0.11459319412959854,-0.11665716611464501,-0.05097745445734674,0.012600360881947447,-0.04755576974223068,-0.05701009347288025,-0.07281847967784455,-0.039304223775756306,0.017933594217879958,-0.004518466861833647,-0.09718507429622138,-0.051385402975758956,-0.05093277694748276,-0.475584983831334,0.0008963430576327492,-0.06618893268352904,-0.0972610674604642,-0.09673553157838526,-0.15164794072994048,-0.013752913450167562,-0.04982721003483568,-0.06611255654171885,-0.06888360691594736,0.01610001851322767,-0.09209460761908202,-0.049132162670347514,0.007324241974754203,-0.002832994220980988,-0.07864928878127803,-0.0792392516728161,-0.07643770436032996,-0.004158713834434944,-0.014118435316892955,-0.1592828175663503,-0.010687980348115203,-0.016875965081647286,-0.15303975173700968,-0.034365652134632246,-0.03212300905148852,-0.02074408242358395,0.06248140917819911,0.06027870622061748,0.11452333817569872,-0.09595873845503557,0.06927479456068975,0.06663522125471828,0.05850569250201296,-0.03649802439491018,-0.03676014872941795,-0.015705878133211938,0.04038832724564863,0.040703377260312416,-0.039358817412005635,-0.07089157068046871,-0.021974328725765404,-0.025519493936258318,0.0974958207808556,-0.06928654259422651,-0.031019189206417618,-0.07402399584368366,-0.06567060947256351,-0.09505996869636216,-0.04175662453889858,0.02984762739822829,-0.10426004674834069,-0.11773090166144302,0.018658787249533963,-0.05825073254380965,-0.055628053227025735,-0.059288687132515144,-0.0680020386542235,-0.04154152561470698,-0.010230048392407305,-0.031864053605730885,-0.03823444199040479,0.17674363005626154
2008-04-01,0.08959083644792425,-0.0015936526876241589,0.06306724928551678,-0.03252937027296653,0.043775248354863995,0.044483916549402376,0.0056618384666798915,0.03605572853795715,0.047114729389457786,0.048339949973889684,-0.056053362012611144,-0.03015012576588699,0.0032726111039352926,0.021920219347354015,-0.0005967691998850771,0.04216070839668484,0.059824143655645805,-0.07667890315816826,0.012786364870000106,0.10516753026121715,0.07225606110183037,0.08634498733165563,0.024429460341682314,0.059119756564878105,0.01256004604970875,0.057448826783452776,0.06605051426803332,0.004825576446406182,-0.006510195057052914,-0.04656078086647381,0.033192576957341825,0.017835703836814158,-0.013486010866345152,-0.015252671270842058,0.05467421278367615,0.02790858971946464,0.03773043777203596,0.30003372292109715,0.04028860447701233,0.03928994002001502,-0.04702639665161806,0.022642725621294782,0.02743358519790031,-0.138017805945891,-0.08238015916602172,-0.07877750139781095,-0.12796307007223356,0.022950736378575226,-0.009617109098755438,-0.011094945206186566,-0.07351171198034001,-0.0037566280770185635,-0.0036191707552826477,-0.03442743649461408,-0.1495791940719384,-0.14929786108302467,-0.14540261617621839,0.015420331458874698,0.02131416891541629,0.02390972647330928,-0.004307483116796401,0.07800491193573064,0.0662695928391868,0.07967148141628055,0.08761544761120377,0.1164222971623588,0.0916361692890298,0.021946781738566297,0.059117362509014955,0.059361392242444556,-0.051527917456519585,0.05307615544245618,0.04916888921468516,0.061184147562729836,0.027887026592213978,0.04113205065193247,0.06225805149065122,0.004054275618068419,-0.00456091144584597,-0.2310230119027681
2008-05-01,-0.061799585955431884,0.05922228593772055,-0.014987032984887676,0.011728570392550304,0.03224870010920401,0.03284522582172746,-0.007780348414478156,-0.04326170807810726,0.07028783946383733,0.07153694614932762,-0.012962089562492103,-0.02451719528347659,0.09202976611995284,0.07834692651467061,-0.13476210584409046,0.042202173315671665,0.040829145720860265,0.03590553777900166,0.027968040938067894,-0.013020865301315014,0.006059956363290709,0.009542169647304543,0.07070754287198508,-0.052550978930397126,0.04580359489604122,0.09025579783329851,0.09353879412155365,-0.042527457905013125,-0.08286251427904255,0.016316825064151844,-0.015078391789830944,0.010059320875148691,0.011466090494961086,0.011042468948639497,-0.008651727437516007,0.05643104233855197,0.05625788520889123,-0.12113120576382977,0.018472334246881748,0.015335352337194862,-0.12799440406867418,-0.017721270238236234,-0.030589008504829797,-0.058914454003713514,0.10964444012481499,0.11457811321765951,-0.01667516596068,0.09243255443372779,0.06905402374255648,0.069101735679672,0.041769339112692996,0.0012767613910785408,0.001685078449027796,0.012409788752314908,-0.091354657426279,-0.09333256453763153,-0.07023568169195792,0.03332262965851703,0.026136478853677415,0.027805152817157997,0.13134916984316825,0.0330893566349231,0.0282660628395597,0.03755240568656402,0.042055259702461066,-0.04772694951096023,0.027918808716375972,0.050211435563159344,0.030278379796020445,0.03609112546417481,0.03176791268061793,0.042653909474948806,0.03706234842391462,0.11723557993634987,0.031116639498878836,0.020702146161044387,0.030951958782718336,0.0038813058613881455,0.01956201964607122,-0.055389668560139514
2008-06-01,-0.04718477215173192,0.054766398482769846,0.018954667250436118,-0.02217389898124646,-0.07808658420118142,-0.08214082253585844,0.03383523300112737,0.0049776082954828315,0.01728582879545902,0.011584122327703313,0.04219607956922935,0.0017541748499038596,0.04259970406145967,0.047375749514115224,0.048011351100856664,0.002765617076318833,-0.003206610815112449,-0.0014495287664201511,0.02478449454256759,0.03655078167443997,0.025096970888317433,0.03113828722464601,0.03921330208326872,-0.00959423382897274,0.09324527415290386,0.04343611193251865,0.0407393827694873,0.12775473574486493,-0.023984068614699205,0.15207659342149277,0.021020667667444624,0.017799637664586206,-0.04496841692197488,-0.06050065854405174,-0.053455170407081434,0.03331601188481665,8.290677878081154e-05,-0.07600334752268158,0.045175614954227575,0.05032043032555486,0.19761672725077808,0.006732217281432953,0.010800263753643758,0.1622972289905125,0.11172921386311625,0.11520571626661759,0.04931832865783734,-0.017288711674592613,0.03742248518791224,0.022687644846195783,0.05756655125886186,-0.01148335167005211,-0.011414447150091347,-0.10043264510413843,0.08810740586160215,0.09121374733026108,-0.16610896363521996,-0.0631500173545728,-0.06375953304589836,-0.0786020059194914,0.07399633539804477,0.022415222081156094,-0.027489039652686193,-0.026243741027942673,-0.025790292246573348,0.09190359707322351,-0.019860541950891587,0.014074726322805847,-0.054435058002619635,-0.0743466346671236,0.03730208895190645,-0.05047394259599795,-0.0651448992075855,0.06387023442547324,0.016166317149561855,0.016187259550741958,-0.06135144338455239,0.025663892374883084,0.02679353934141887,1.1540302135152813
2008-07-01,-0.13398083323402718,-0.0312998353618882,-0.1224145225195721,-0.1414910265093506,-0.18002402198362638,-0.1842204725207323,-0.00034080096425014234,-0.05702948178570296,-0.07500761359576794,-0.07220732066283254,-0.2086842444421724,-0.11111104214035357,-0.01917297406321404,-0.019033725111947057,-0.03483313106487866,-0.12749856579308322,-0.1229889278896866,-0.14077324969551386,-0.09254001128297776,-0.05811255683646778,-0.1495323876920779,-0.15404036383322273,-0.002188848688151503,-0.06850082149233579,-0.1330454066192178,-0.09146425077949698,-0.08978888454615538,0.005417014023809463,-0.2808268632647471,0.05287320877126229,-0.5027535901105644,-0.07610444199362162,-0.13594233994339686,-0.14128314041580906,-0.09171117646009391,-0.07787009841154233,-0.0912566975633444,-0.33195350362208126,-0.06404280776530027,-0.07437432484956005,-0.16873850415060104,-0.023936317440704714,-0.03224330810480105,-0.05711220115773954,-0.0417153129899761,-0.04238481637669593,-0.06155255396274263,-0.11818899008304834,0.018784629588469253,0.012759482834561716,0.036243068198756105,-0.04630379249786858,-0.046540257505681665,-0.1461403553710822,0.08209719565195808,0.09130075949829958,-0.10392437966243602,-0.11711715872969407,-0.08672294869416274,-0.08497192539407689,-0.10909639058166577,-0.11033146258279954,-0.08677109853530657,-0.0705690180151758,-0.04955539455063159,-0.1326783438335164,-0.13994514331175054,-0.08014242435447241,-0.11223172240267965,-0.12014247225675163,-0.01958601463355853,-0.1267431206398926,-0.1371135239765723,-0.1541622215665472,-0.020932174927165675,-0.030580089572686257,-0.07948739448224974,-0.08217791121975974,-0.07660651808987276,-0.15700272782778493
2008-08-01,0.029249531400435517,-0.052979561003294096,-0.04424259092639342,-0.06526025373499457,0.09832809225231723,0.10153551266658233,0.021496084305906788,0.028060509122168342,-0.02493599516125366,-0.0271561561391941,-0.028506063327378362,0.03289703123798642,-0.04717766239610014,-0.02864684555672554,-0.10727776627143706,-0.04592672985666487,-0.04715780262265093,-0.0013256934712165072,-0.014161236077350729,-0.1850595989243869,0.014178295137063302,0.01097828557343215,-0.19598411310349162,0.049588907549068945,-0.06956206978400266,-0.01594903468146911,-0.014080799526167892,-0.11758142131814017,0.026083197207559423,0.0012378554612775955,-0.0013096217271938548,-0.04038885945783123,0.011772632255355906,0.01205169056518981,0.008514540878159964,-0.045165179796707686,-0.03414079667817862,0.04144079149455354,0.0013315642307035885,0.007337293578963159,-0.09474941833518233,0.028513792055139903,0.018993240290556948,-0.007078245968723106,-0.2048924373320149,-0.20368801844755993,-0.12148965974114943,0.057914304507691666,-0.14560192578076653,-0.1422978223587377,0.02988275021623998,0.042882048440354946,0.040458193662542816,0.04397473225725824,-0.14962292747580636,-0.15010768304011482,-0.06973669995376733,-0.01962557393170674,-0.07096012525320664,-0.09136237171272014,0.0783724898853046,0.13989497358959227,0.017228479494320287,-0.011140172067639391,-0.012064502286659465,-0.013072810208273283,0.04547159622079078,-0.14377777089050373,0.032375036866015346,0.04010645713642362,-0.11019187717530775,0.05728790508171144,0.0723622105386706,0.024373716636345872,-0.075435703804065,-0.07280673156852673,0.0169185567286119,0.031488100071725124,0.026451649829372637,0.06436550634955665
2008-10-01,-0.06997337366564903,-0.09038302794647958,0.01293848504102875,-0.04582977089624745,0.027010497233793306,0.0297664194024672,0.00213902135070923,0.02660907297671904,-0.06304942742238986,-0.046501266363382664,-0.14739986412590156,0.012581118023498867,-0.1465921431016753,-0.12323001558777204,-0.13687036602771868,-0.05201077432026455,-0.035564678207046646,0.003882687110082597,-0.04370978668158221,-0.056776997251453805,-0.02176372510678067,-0.029352306934298793,-0.10750122887676927,0.040159409391666845,-0.1236108679808209,-0.12171930807361482,-0.12336286846142526,-0.16290425886536583,-0.09183002489546144,-0.22389431121856415,-0.019581991161534643,-0.022065829511039876,-0.1008000473500883,-0.13475794988155546,0.037058807004238206,-0.1328812813876762,-0.10315874453432289,-0.05046793040095568,-0.08676444442537681,-0.08352745738039631,-0.176892931149807,-0.01075398842597516,-0.010291824743888452,-0.040057239855977686,-0.22882522232687058,-0.2273272139484606,-0.2694603378543843,-0.039829762438980065,-0.07563235792164036,-0.06724470344904415,-0.21889689713252147,-0.01747621187984061,-0.016344205388890715,-0.08943988918127545,-0.09175226608333106,-0.08342690610669065,-0.3801336887645461,0.00017938110466313536,-0.07373210811052763,-0.0734178842285439,-0.1232744910720089,-0.05182288614368155,0.01449375923704142,0.0034652893822097637,-0.003821691454627431,-0.031144801173381757,0.013173835624370397,-0.22746115963619967,-0.05664548152968597,-0.06910877264936066,-0.10284810478488292,-0.04891130958233298,-0.04136319712696015,-0.1507543660333261,-0.051841363567640686,-0.059717082506583384,-0.045318194452151205,-0.04238797941068948,-0.03422162649188983,-0.11970103974347274
2008-11-01,-0.16763195305738993,-0.11207738658962135,-0.180914084469068,-0.185172439174058,-0.21258552517670543,-0.2215140172728261,-0.04467971348841503,-0.21041280942060234,-0.16673620432143588,-0.15818450291275285,-0.2737970449900462,-0.15401631291642465,-0.232822916145472,-0.21203303442176438,-0.0027734841880557425,-0.1193772558529204,-0.097696174477101,-0.3712564780724901,-0.19067031845604068,-0.2593647111914408,-0.3114713895988264,-0.3270398793258381,-0.4148756089870357,-0.1376774419739474,-0.21528185574238684,-0.1309647224085526,-0.12414225777474391,-0.2918901143948364,-0.34167632777618984,-0.30378204178893453,-0.10830199280879295,-0.11491953716683224,-0.2549370250407131,-0.2645660612726531,-0.08015949916501582,-0.27897265081832995,-0.25883629879720155,-0.24353211183182236,-0.21418143801571482,-0.1965212481146684,-0.13109384493184106,-0.13971626166751444,-0.14380403840639183,-0.2545898592288054,-0.29821708430408217,-0.2971065263343342,-0.15090463943875843,-0.12590978560100233,-0.16725599049153264,-0.15827282162235246,-0.1645285929849843,-0.07942158817827735,-0.07669558918554847,-0.19075505925233277,-0.40466299760645597,-0.4053472798796992,-0.3470771451951138,-0.1608836705004901,-0.2322539719258654,-0.23079385131840674,-0.1607610321422803,-0.19223073304611063,-0.1273614321551617,-0.12128698151048552,-0.08896797866723394,-0.40927981495268506,-0.23222222746154253,-0.22660008327357054,-0.2473721633843078,-0.24318311032808637,-0.20379036807148254,-0.14605976044091631,-0.13789268953556502,-0.31854642951567097,-0.13050046465207463,-0.13753816077742842,-0.08954815030077708,-0.1809529368861001,-0.1719073197532027,-0.10219032522165028
2008-12-01,-0.19568143781778455,-0.12470674683401671,-0.2113298488931536,-0.19257625323737568,-0.30234723848611217,-0.31220606744292734,-0.056439925118858286,-0.045084064920966366,-0.16124297633535092,-0.15751775947043867,-0.2169873997422699,-0.17593775113338528,-0.22774329670229712,-0.20733299280175221,-0.20367433752371775,-0.052769698963409245,-0.0435827872508839,-0.09752178155823425,-0.15219040562892977,-0.16214027477534182,-0.13237613209913937,-0.11803062747039447,-0.3490996086086614,-0.07895785532348293,-0.15087766413983136,-0.2241183766244861,-0.2193734609277516,-0.3453062230186629,-0.3937737275315773,-0.2719620433111408,-0.0928084422031404,-0.14508816425040538,-0.1653544271575466,-0.16181359348296312,-0.15436570519398085,-0.17561953097913263,-0.15329646304978523,-0.38016061400743895,-0.1458830973393381,-0.1376123857792673,-0.15444716170814585,-0.18246613049491595,-0.1881091421901056,-0.3621750823672323,-0.12293848218215336,-0.12180718042547675,-0.10527754170622432,-0.14694570279909266,-0.10240821244130201,-0.09345831736300939,-0.27063674604031623,-0.10844600064797025,-0.10703824857976615,-0.2295715637902895,0.13305275878584472,0.14380651407695885,-0.3676436371813258,-0.2018438076114148,-0.254419081292547,-0.26897401407932897,-0.20166443708566087,-0.16533379687944888,-0.10772387465751154,-0.12064649475476096,-0.10258645658380856,-0.3623846526176691,-0.1430800309969879,-0.2298600938372461,-0.29754839094433283,-0.29366447196309503,-0.25222017996110163,-0.18688808352348105,-0.18526608631402028,-0.3955930022893849,-0.058979565590243255,-0.07157498793863391,-0.1635924015888859,-0.17418178364924858,-0.16527233552981693,-0.10288445480156046
