,num_firms,total_market_cap,total_presentvalue_marketcap,return
count,20868.0,20868.0,20868.0,20868.0
mean,51.0928215449492,632023240701.605,769958650198.4794,0.007294791021490899
std,62.239004176644265,1317057250130.2332,1474644738478.855,0.07408166025236924
min,10.0,447745495.0,673344643.5012056,-0.6391105772736062
25%,18.0,25136769916.25,31157868203.529594,-0.03213604138653829
50%,30.0,182319067790.0,244149064125.60187,0.011077271850833327
75%,54.0,647154030913.125,797924051780.0408,0.04744878918473461
max,544.0,16790272273225.8,16897494379026.05,0.6924850268013713
