,num_firms,total_market_cap,total_presentvalue_marketcap,return
count,19635.0,19635.0,19635.0,19635.0
mean,54.17244716068245,653689994767.5518,795015214689.9536,0.008489688586861006
std,68.10171392587068,1334478980957.7935,1490349928734.4937,0.0721115455952823
min,10.0,1467482190.0,2069317062.8609045,-0.636662034249678
25%,19.0,49947277982.1,64616536014.20902,-0.029561226259802766
50%,32.0,197118180340.0,254863636812.16577,0.011907711481146738
75%,56.0,667323786867.5,823102351539.8687,0.04738579138090836
max,544.0,16790272273225.8,16897494379026.05,0.6762681569303398
