,num_firms,total_market_cap,total_presentvalue_marketcap,return
count,18238.0,18238.0,18238.0,18238.0
mean,55.02374163833754,684617433370.1158,826993484961.1619,0.010409415473239073
std,68.85391003189585,1373624054488.5896,1531669670962.9417,0.06664122124562107
min,10.0,1467482190.0,2069317062.8609066,-0.636662034249678
25%,19.0,53015113521.399994,67305901237.14926,-0.027139975063166195
50%,33.0,210454768872.1,268144580524.32156,0.012677191910828622
75%,57.0,712739610625.0,872785215258.7776,0.047358012082700116
max,533.0,16731915387985.8,16838764828708.229,0.5460790222653632
