,01/2015:02/2020->02/2020:12/2023,01/2015:02/2020->02/2020:12/2023,01/2015:02/2020->02/2020:12/2023,01/2015:02/2020->02/2020:12/2023,02/2020:12/2023->12/2023:01/2026,02/2020:12/2023->12/2023:01/2026,02/2020:12/2023->12/2023:01/2026,02/2020:12/2023->12/2023:01/2026,07/2009:01/2015->01/2015:02/2020,07/2009:01/2015->01/2015:02/2020,07/2009:01/2015->01/2015:02/2020,07/2009:01/2015->01/2015:02/2020
Ticker,Mean Absolute Change,Mean Change,Max Change,Min Change,Mean Absolute Change,Mean Change,Max Change,Min Change,Mean Absolute Change,Mean Change,Max Change,Min Change
Factor,,,,,,,,,,,,
Alpha,0.007906529034729808,-0.002977217717936839,0.0265597901065363,-0.0369882753411318,0.009309015144373238,0.0017570361654763594,0.056451896227096995,-0.0218204006091982,0.005584169993526108,-0.0009034059182855343,0.0213522997600957,-0.026374788318994702
CMA,0.5263232336757091,-0.2388214414597065,1.4107024627000722,-3.2792566398830147,0.5356638726329368,0.006972917086486251,1.7510356713301063,-1.8519802161207708,0.8217408153126391,0.48499055317566936,9.834993043428874,-1.3057878362447068
HML,0.3143914004021931,0.1489971438704734,1.5295956947022957,-0.8056569784433294,0.5214599399022501,0.16743493129210588,2.371340448944574,-1.72029092584725,0.3312844193711697,-0.13294430588176018,0.7703824689904738,-2.483561139134851
Mkt-RF,0.20098570907858088,0.03689145150285589,0.858432227066618,-0.5088220866209502,0.2307174903108132,-0.11940660881224896,0.3674259832209952,-1.5068016358096235,0.15945384675978064,-0.018925623246788596,0.6894024516942571,-0.6387872903503438
RMW,0.3258182363787977,-0.009584923063919577,0.7849648736725876,-1.0133158398665252,0.43703010122911845,-0.020228019484110422,1.7290976053543514,-1.5067713381050512,0.3511390799144586,0.09453246115076974,1.3816565566732146,-1.229578031504295
SMB,0.262426504985452,0.09453545290758776,1.335802749025246,-1.1743245300435443,0.3343125816962614,0.010261732850753656,1.8910964469733738,-0.9385711930856702,0.20860637294107418,0.017360272227366923,0.6972859340624944,-0.6935750164882215
Mean beta changes,0.3259890169041466,0.32598901690414656,1.465745519031257,0.055564773885860744,0.41183679715427596,0.41183679715427596,1.2339381986427813,0.08873482112527341,0.3744449068598243,0.3744449068598243,2.685791835111885,0.06560730184558446
