date Range,Adj Rsquared,Rsquared
01/2015:02/2020,0.6333440375039692,0.6633978049216765
02/2020:12/2023,0.7370844469322145,0.7656622244395824
07/2009:01/2015,0.6468718159204612,0.6746548240440823
12/2023:01/2026,0.4695471373469049,0.5756377098775239
Entire Period,0.6326926090453091,0.642041376844574
