,Time-series Homoscedasticity
count,35.0
mean,0.2571746058563643
std,0.27244407303439994
min,2.0367008273687398e-06
25%,0.013812903221622996
50%,0.15404028418292032
75%,0.38150240517278466
max,0.9714783852179327
Reject H_0  (p <= 0.05),12.0
