,Ljung-Box Test
count,35.0
mean,0.5144655433593966
std,0.3167520687557161
min,0.0012087999501796355
25%,0.31749696619847767
50%,0.48044839417954777
75%,0.7810801741985296
max,0.9926348933645837
Reject H_0  (p <= 0.05),4.0
