,Aircraft,Almost Nothing,Apparel,Automobiles and Trucks,Banking,Banking - Large Cap,Banking - Small Cap,Business Services,Business Services - Large Cap,Business Services - Small Cap,Chemicals,Chemicals - Small Cap,Communication,Computers,Construction,Construction Materials,Consumer Goods,Electrical Equipment,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Food Products,Healthcare,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Medical Equipment,Medical Equipment - Large Cap,Medical Equipment - Small Cap,Non-Metallic and Industrial Metal Mining,Personal Services,Petroleum and Natural Gas,Petroleum and Natural Gas - Large Cap,Petroleum and Natural Gas - Small Cap,Pharmaceutical Products,Pharmaceutical Products - Large Cap,Pharmaceutical Products - Small Cap,Precious Metals,Real Estate,Recreation,"Restaurants, Hotels, Motels",Retail,Retail - Large Cap,Retail - Small Cap,Steel Works Etc,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Transportation - Large Cap,Transportation - Small Cap,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale,Wholesale - Large Cap,Wholesale - Small Cap
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,0.9620356280741392,0.6000449137739691,0.8349656227653217,0.6562599159799805,1.2586080547246776,1.2408039530458927,0.6462232865941384,1.0080030429937044,0.9434088917699467,0.5072854252859744,0.8957826995564562,0.5656950805218774,0.9605083938045331,0.870919122127542,1.0555763139760461,1.467711027027546,0.9027570225826361,1.1189768017916975,0.8463600103577973,0.8070487072816624,0.41302467689567035,0.6151355940064536,0.7836761226000757,0.7692805675503565,0.9600284035354177,0.9065409117310878,0.5455682570808456,1.2853099815967508,1.173462008230582,0.6151537696193599,0.9796453056349894,0.6876545751204292,0.7134113211284081,0.41727704222080264,0.6502104771414721,0.9282286815176513,0.8927773928918219,0.9915722898677002,0.7070582267520585,0.5105191819004058,0.5128201666492112,0.05777590097691733,0.340457109103705,1.132404808203913,0.7901706149103259,0.8996447396744258,0.8656380204011206,0.7861866724538317,0.7728835569138165,0.9600104928352474,1.137611534744626,0.9757686872721234,0.8283887473052521,1.2594349294554277,0.946266228608373,0.5818732225573655,0.7490147255871451,0.7059653730600101,0.7767723368876704,1.3300102633124677,1.1235855300498059,0.4706099021908515
std,3.1889283572274043,2.0417284641008813,2.6185968467315175,2.564487106271502,5.772500556367532,5.688414812624584,2.114937741784322,6.724171373507918,6.30107611588857,3.212886905775253,3.0526029704163755,1.7822828984333503,3.491021088800457,3.4776704877217406,3.0543237748032226,4.689397254877093,2.989914918802532,4.100942423895915,3.832662858605498,3.695573420607757,2.1736895458934473,2.664438192519197,2.3246362248399497,2.5698411168162405,3.615350423886396,3.1534767864939073,1.730314378866757,4.630263684286284,4.229274962387999,2.131422250948402,4.104606200807051,3.2362555187017303,3.2712313059532474,0.4425396016803921,2.0536409718841813,3.0552729720274647,2.220072455337672,2.4714039315215923,1.815401943535065,2.2815701372231603,2.249750259172779,1.8888066422991054,0.723061013771246,3.673351065427566,2.0709628078286144,2.7741306483931423,4.200081573832103,3.9074688947846665,2.8336782907210463,3.1168980475964556,4.929481132549562,4.543340049723664,2.8940345823903466,5.006412680923496,3.8245766066146847,1.8370826608077409,2.3237175339574607,2.1759458326876135,2.0588511905490483,4.237509097803528,3.5351831915833776,1.6056171232633976
min,-0.64744115735697,-1.1240046626065074,-1.4364406452971448,-1.8479063321755154,-4.793247504458268,-4.9001029941613545,-2.603522256871439,-4.930507894801794,-4.620826676809416,-8.41395500758973,-1.3147600739999428,-3.3764274638956047,-1.4744611150767157,-0.41654820627294625,-0.5039750812838129,-0.6859190703046104,-1.3490836386079976,-1.67860051292934,-3.374431881988398,-3.434139588339173,-5.55556268970252,-2.1884867431917807,-1.5069423730540144,-1.2961816126921315,-0.8850264956618054,-0.5177666937973598,-2.3306873717684153,-0.0012096152886574135,0.0,-5.308220528590195,-3.684224796395127,-3.301272730804827,-3.156503639553315,0.0,-0.787402151706437,-0.23874457941013288,-0.8761299510744773,-0.5252806426928667,-3.6227261136361757,-1.5674424108660707,-1.6723368837098949,-6.996523002351867,-0.9583555751494737,-2.933842336053149,-1.2712356650418946,-0.21469135863634994,-4.220845678766625,-4.170423849046696,-7.468574069170971,-1.0575755492771404,-2.0087988874111105,-1.9499111557180788,-4.911128891636911,-1.1158576847727617,-1.048909339181845,-4.600402869166872,-1.2936711082070145,-2.0190031212877804,-2.434759747649531,0.0,0.0,-4.164841719016365
25%,0.0,0.0018435090673773937,0.00040004493858264553,0.0,1.0048436887735954e-72,5.770290630382231e-36,7.129206346554889e-16,-0.01698889008652455,-0.01059597409457411,-0.007084936020902156,0.016589037785419616,0.0006825827983978438,0.0,0.0,4.510165054024545e-06,0.0006346316580724856,0.0,1.2037238674270605e-58,0.0,0.0,9.423915784228201e-20,0.0,1.816139879628938e-05,0.0,-0.0004370094906932724,-0.00032741184640451245,2.644653314712459e-15,0.001699632401695,0.044352372963615015,1.8587785162234198e-07,0.00021891420696740346,0.0,0.0,0.014422722914644286,0.0,0.0009020142109137343,0.02453936067952675,1.946168668330494e-10,0.0002827934244412411,0.0,0.0,-0.011401725500948215,0.0,8.226963696100031e-06,0.005322047765841864,1.4534409882236693e-36,3.708321954312155e-60,0.0,1.604174377789476e-12,0.0036343490536235225,0.0,0.0,1.46684328104753e-05,0.029374700328745736,0.001591029741306233,5.465354371780104e-06,0.00018915096840086256,0.001925605042021854,0.02256243852633484,0.028875714761203333,0.03096274925375097,3.460668008747457e-05
50%,0.1144241212618009,0.12199182703029432,0.18812663519389727,0.12145030500952297,0.057111646046213965,0.06930841915628973,0.09231888930312689,0.01563008142465829,0.017055109468721876,0.10373480711504868,0.15430211895820334,0.2670266394953375,0.0762581275315454,0.08488890574674507,0.1866562193465603,0.2076384749705831,0.09195017995508747,0.09555691099503666,0.08785329905932818,0.0818348111814159,0.17650277059620662,0.18271654281505567,0.09915027127571817,0.12204350450719886,0.06798496659828694,0.07790207667360093,0.17619943658210516,0.12893917839875801,0.19358630839700375,0.20424252241839602,0.09910766742874658,0.06725514238097409,0.08405660424493394,0.23139396202418092,0.24433280113859224,0.11320093827503808,0.22683247905136253,0.19179809016282723,0.25740416503173535,0.09132156426781404,0.09214024953722938,0.11920151373925167,0.2280458998554127,0.17106974271385306,0.2120997904990376,0.10170759832054815,0.07253211768208442,0.07615820912313162,0.19339649840861461,0.2093129674211866,0.06440759209195829,0.059754781300239285,0.15090830695486512,0.11672651393900088,0.1134400855844919,0.2802471794264505,0.1152171736601524,0.12608389553097094,0.21036995868783798,0.20847970449343692,0.20684152554630225,0.20853225542452292
75%,0.689055892432347,0.46475430499863335,0.7055726189157894,0.6112508298141263,0.919499012839186,1.0,0.5662274800033213,0.8864302072625255,0.8695752601090602,0.9965611298220743,0.7176782284296254,0.8277630231411701,0.6968962934961442,0.603513639325781,0.9977358642044976,1.0,0.5725872921797672,0.7817428980020797,0.7246161295271502,0.6953757563501388,0.6492850155748312,0.6337110476553269,0.6610651048698357,0.5929078357549475,0.6601214533301429,0.6770616930437541,0.6024917829757956,0.8649398781511443,0.7826059701655904,0.9604430832764907,0.7502666754671418,0.6499778138973809,0.6275264445065711,0.7558881110224074,0.49117472567245946,0.6625285901032989,1.0,0.9792642199916234,0.9604150149404402,0.34049648203763294,0.36132042450261936,0.5668635398895517,0.5041956675064245,0.8314254550784355,0.7327205042626366,0.7716470770605086,0.7507596374072907,0.7173734610393234,1.0,0.6772171248246688,0.6913344921620227,0.46274231147262124,0.9087173649728758,0.8756308053247479,0.6565065172127561,0.9984287447891054,0.6612384704433935,0.6093471349754345,0.867711440872387,0.915316569171643,0.8751699200528015,0.7055083463772284
max,17.637569580190704,11.500266984061401,14.37266018336368,13.892714021176955,27.91133606145942,27.517298352544323,8.703305365991861,37.055309253431005,34.551559802899604,13.616787235562622,17.232194125969905,8.680406727494788,19.38727571526455,19.80740534195813,17.003940519964985,26.101871683900836,15.81512841086451,22.7306202675031,21.215984911870777,20.356226007401915,10.04126658096116,14.588224601352557,12.473807802579394,13.921163721149206,19.73936655504638,17.279523894013302,8.49985641739635,26.340274465620833,24.16000346865879,9.304984627864258,22.791166276547816,17.74482209791438,17.971215890628535,1.4760463177496255,11.637930051216985,17.293848235957228,12.048737271493238,12.72639162043357,8.213284566894794,12.417478994984155,12.16097635903109,4.862876870295488,3.303153820646585,19.715062345103266,11.315724974610228,15.439099914391258,23.262042830780544,21.464908918044664,12.117800796907282,17.613203856002738,27.515429586206544,25.267024936195273,14.657001114135166,28.46677667140583,21.770043657125047,8.661206791621114,12.836753534190313,11.763771372817816,10.424892024871557,23.883293071842786,20.108522498310947,7.531127049455582
