,Aircraft,Almost Nothing,Apparel,Automobiles and Trucks,Banking,Business Services,Chemicals,Communication,Computers,Construction,Construction Materials,Consumer Goods,Electrical Equipment,Electronic Equipment,Entertainment,Food Products,Healthcare,Insurance,Machinery,Measuring and Control Equipment,Medical Equipment,Non-Metallic and Industrial Metal Mining,Personal Services,Petroleum and Natural Gas,Pharmaceutical Products,Precious Metals,Real Estate,Recreation,"Restaurants, Hotels, Motels",Retail,Steel Works Etc,Trading,Transportation,Utilities,Wholesale
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,0.9076860366269794,0.6005261887442783,0.8152613079878279,0.6096721069972073,1.367896730118207,0.9122457059729111,1.0256653788801735,0.9044394238619489,0.7627007948289363,0.9192908942825574,1.4128070256679024,0.8845523918162919,1.0275860725820303,0.8358039628255903,0.49839058993528573,0.8093210621276423,0.6793793943228875,0.9885954270623345,1.2304999501234897,0.9035380561108599,0.6710388019484126,0.605662430319943,0.9268265365641933,0.9010892827190482,0.5538958377861026,0.35821417082289253,1.161867906772719,0.7824876045767336,0.8227932100268541,0.8542276908363055,1.0140136935974278,1.1722246512835914,1.1376561582554754,0.7072023463317157,1.3499157386854705
std,2.7928290787223142,2.0419160800933893,2.4655273270308586,2.3401685147837696,6.308708531771199,6.521466971688271,3.3373112781473155,3.052402435174253,3.265208753555531,2.7055126185984975,4.518799284682238,2.924955051403475,3.7585355436543533,3.4974219018699384,2.4906228157587913,2.1450005428182997,2.3522068025779475,3.1602273330537294,4.1675454193879915,3.634154875742308,3.2827795065608716,1.8093584686046615,3.214746879296336,2.3997280364984457,2.167864673153041,0.595747928573029,3.8267244128329865,2.0268597455414086,2.540727260530973,4.342305500877418,3.060230755524386,4.704053329591361,4.736080488442577,1.990649483736285,4.116831683444448
min,-0.17638716261567006,-1.1204639848060065,-2.7243406120198013,-2.022637924895254,-5.202597166714801,-4.9558943276682985,-1.5401416399158958,-1.2159637710288727,-0.8720984523007989,-0.8275916169690983,-1.7369295490296388,-2.207006425232947,-0.8879090399812587,-3.1629555145564963,-2.4847888290351428,-0.5583108636720596,-1.8097144506140894,-0.2738675592836484,0.0,-2.677331793911219,-3.3775192102392095,-0.8913498619329787,-0.6383183854377155,-1.1474199806308858,-2.50039309149615,-0.6688488932283986,-3.0359109155564328,-1.3389731901319661,-0.9926679734397266,-5.186418542768328,-1.2366913662782184,-0.651509840633144,-1.5040992327496616,-1.0203875842583259,0.0
25%,3.178142582920219e-36,0.001843993111122687,0.002576747939533954,0.0,-0.00013979693255283427,-0.025424994874014305,0.020448669797390528,2.3345297157101685e-40,0.0,2.1392234789299083e-34,4.040804609674785e-05,2.9871867047740933e-34,0.0,3.9402595941447005e-47,0.0,0.0,0.0,0.0006119151387062173,0.03698143880460618,0.0006345678422829779,-0.00021461134130432337,0.0,9.650439856861747e-44,0.0026233145472950867,0.0,0.0,5.379611199124402e-06,0.003899917129834436,0.0007158826786521081,0.0,0.0037504553095678546,0.0,0.0013027901396701336,0.017945949782934206,0.03395732789752532
50%,0.13932896623323043,0.1203003290167517,0.1927931859227292,0.18269088997897928,0.044409030537564995,0.015905644479598764,0.1356894077765612,0.09044267686971882,0.08648900890373301,0.16652024417126615,0.11717624004842314,0.09134852521141498,0.10310321557189264,0.10883822048361277,0.11738676817493493,0.0958980638859366,0.1149468598319387,0.11348227408892232,0.19732158066836178,0.10096325482863042,0.06597580113104286,0.23299824792671409,0.1261357481424154,0.1994792315659687,0.09508895195888242,0.23517484169103056,0.11862165503152163,0.20616261977268335,0.12987363012893843,0.07105741522772813,0.21177193132452574,0.06923196410621074,0.11314676920949995,0.19588796158409089,0.28080979215943347
75%,0.7880700472009026,0.4649108052941179,1.0,0.577118032684945,0.8943616719405285,0.885080325394551,0.8041182496843544,0.685259725930487,0.5563442642932823,0.7264641068597569,1.0,0.6207232507164158,0.7662857326297057,0.7736213064889406,0.47511930335795993,0.6059082381548249,0.5459320229035338,0.6920730808886831,0.8079631627838447,0.7336210097234583,0.6435557553367653,0.5167419570967199,0.7004692691304413,0.6890508616915199,0.4520790513249233,0.4850004296886876,0.9578699585026647,0.684530952213801,0.5667020965324994,0.7770089579948644,0.8673544177236746,0.8226293782319645,0.8184981713003779,0.5921372110305692,1.0
max,15.622530472634034,11.501044678631912,12.989564964296465,12.610914619088437,31.843360702200247,35.76847030622786,18.75025503890682,17.005832839565134,18.493309053404623,15.016147829565659,24.970176627468984,14.96815008942863,20.89559463361162,19.326125462380578,13.529699532921233,11.121267965459923,12.770210868336521,17.510659458667167,23.736566017769935,20.301962417439057,17.951835824748958,10.15611316037543,18.15517752720462,12.442065792014372,11.572210538609891,2.5366810163796907,20.559863333207247,10.991013909667142,13.943446347525478,23.875937030725908,17.126676155420647,26.64580064324866,26.883200383372554,11.051386664126932,23.264989513854676
