,Aircraft,Almost Nothing,Apparel,Apparel - Large Cap,Apparel - Small Cap,Automobiles and Trucks,Automobiles and Trucks - Large Cap,Automobiles and Trucks - Small Cap,Banking,Banking - Large Cap,Banking - Small Cap,Business Services,Business Services - Large Cap,Business Services - Small Cap,Chemicals,Chemicals - Large Cap,Chemicals - Small Cap,Communication,Communication - Large Cap,Communication - Small Cap,Computers,Computers - Large Cap,Computers - Small Cap,Construction,Construction - Large Cap,Construction - Small Cap,Construction Materials,Construction Materials - Large Cap,Construction Materials - Small Cap,Consumer Goods,Consumer Goods - Large Cap,Consumer Goods - Small Cap,Electrical Equipment,Electrical Equipment - Large Cap,Electrical Equipment - Small Cap,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Entertainment - Large Cap,Entertainment - Small Cap,Food Products,Food Products - Large Cap,Food Products - Small Cap,Healthcare,Healthcare - Large Cap,Healthcare - Small Cap,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Measuring and Control Equipment - Large Cap,Measuring and Control Equipment - Small Cap,Medical Equipment,Medical Equipment - Large Cap,Medical Equipment - Small Cap,Non-Metallic and Industrial Metal Mining,Non-Metallic and Industrial Metal Mining - Large Cap,Non-Metallic and Industrial Metal Mining - Small Cap,Personal Services,Personal Services - Large Cap,Personal Services - Small Cap,Petroleum and Natural Gas,Petroleum and Natural Gas - Large Cap,Petroleum and Natural Gas - Small Cap,Pharmaceutical Products,Pharmaceutical Products - Large Cap,Pharmaceutical Products - Small Cap,Precious Metals,Precious Metals - Large Cap,Precious Metals - Small Cap,Real Estate,Real Estate - Large Cap,Real Estate - Small Cap,Recreation,"Restaurants, Hotels, Motels","Restaurants, Hotels, Motels - Large Cap","Restaurants, Hotels, Motels - Small Cap",Retail,Retail - Large Cap,Retail - Small Cap,Steel Works Etc,Steel Works Etc - Large Cap,Steel Works Etc - Small Cap,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Transportation - Large Cap,Transportation - Small Cap,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale,Wholesale - Large Cap,Wholesale - Small Cap
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,0.9620356280741392,0.6000449137739691,0.8349656227653217,0.7017112701722112,0.9160122119850322,0.6562599159799805,0.642377282790018,1.0377379642013338,1.2586080547246776,1.2826369479165098,1.2044416193893597,1.0080030429937044,0.9964168986113857,0.9973365861558665,0.8957826995564562,0.873328810732444,1.2757956539131068,0.9605083938045331,0.9439552870670709,0.7767868049743174,0.870919122127542,0.8598177279614189,0.8510841721500836,1.0555763139760461,1.0135826914115251,1.1190492608769154,1.467711027027546,1.4270835427626187,1.2006991633210402,0.9027570225826361,0.8766775561009077,1.1285688583746243,1.1189768017916975,1.0944131003692612,0.6847831068052425,0.8463600103577973,0.8385125247040655,0.9077411454791695,0.6151355940064536,0.49206707256589266,0.8211590588856905,0.7836761226000757,0.7541357930644675,0.8291504942403546,0.7692805675503565,0.6957096291086973,0.6814750591271127,0.9600284035354177,0.9400069676761712,0.9031615328763916,1.2853099815967508,1.261720853432855,1.2975183788173177,0.9796453056349894,0.9673215755971583,0.6661339402139715,0.6876545751204292,0.678135699246499,0.5686712574163825,0.6502104771414721,0.5520689907167943,0.4472889076909151,0.9282286815176513,0.898697180150372,0.6202560067063853,0.8927773928918219,0.8941244866469296,0.9185587480230171,0.5105191819004058,0.5114083327942308,0.20074175261832225,0.340457109103705,0.30474459368581386,0.4079762965585485,1.132404808203913,0.935876483478558,0.6503987990497395,0.7901706149103259,0.8996447396744258,0.8837842229080952,0.8450322844701171,0.8656380204011206,0.845582798926314,1.2968989202713423,0.9600104928352474,0.938715461280633,1.0910796422024016,1.137611534744626,1.086735704345514,1.265508941092578,1.2594349294554277,1.2468973344535823,0.8411134971122451,0.7490147255871451,0.723797064256787,0.7903134926262998,1.3300102633124677,1.2967915827701666,1.405302785197307
std,3.1889283572274043,2.0417284641008813,2.6185968467315175,2.1258282757309064,2.4805858180951446,2.564487106271502,2.511922373787885,3.5352472579043592,5.772500556367532,5.7559649327697615,3.4127618482996507,6.724171373507918,6.662819082587552,5.287689022135052,3.0526029704163755,2.956141534042776,3.9732588900017927,3.491021088800457,3.4581204772898553,2.3481412537037687,3.4776704877217406,3.401801872447453,3.2460355578460502,3.0543237748032226,2.870814627930647,3.473297473727294,4.689397254877093,4.495198203945001,3.7214238237750155,2.989914918802532,2.9331040607800336,3.255497573799592,4.100942423895915,3.9640740537066614,2.922512158894319,3.832662858605498,3.803305418492061,3.8520717955588006,2.664438192519197,2.6171170641500567,2.342574876848909,2.3246362248399497,2.249055217805879,2.6181824237908295,2.5698411168162405,2.3074349776878513,2.5755196276507424,3.615350423886396,3.5067606109353644,3.3543592573561365,4.630263684286284,4.54394327482431,4.714127280672869,4.104606200807051,4.018097395114852,2.855521714943444,3.2362555187017303,3.2114943798551314,2.5243774145226654,2.0536409718841813,1.4260827568898529,1.424686587089875,3.0552729720274647,2.919436617711861,2.3688956557087932,2.220072455337672,2.216255568946424,2.145481189948632,2.2815701372231603,2.2702565355467867,2.971384655582831,0.723061013771246,0.587113119546028,0.9839320156817063,3.673351065427566,2.9633906705360347,1.8086541501921494,2.0709628078286144,2.7741306483931423,2.718224286885681,2.7268934611344204,4.200081573832103,4.152599392813069,4.094482716153445,3.1168980475964556,3.0293682407177824,2.8453295222840658,4.929481132549562,4.824581268612903,4.297771789013787,5.006412680923496,4.912133715100955,2.6555906290321643,2.3237175339574607,2.2698800730735953,2.474194028587955,4.237509097803528,4.13388546971505,4.200840401778887
min,-0.64744115735697,-1.1240046626065074,-1.4364406452971448,-1.5952066155380007,-3.057362897704828,-1.8479063321755154,-1.7881637939903736,-3.313730277951657,-4.793247504458268,-4.799455469790986,-3.1987548193536814,-4.930507894801794,-4.909626788612729,-8.430224010918062,-1.3147600739999428,-1.1462473706819274,-4.334330493417157,-1.4744611150767157,-1.338345295221737,-3.488160859032774,-0.41654820627294625,-0.4049209490606599,-3.558066498731493,-0.5039750812838129,-0.2705692276210717,-1.8473056864801698,-0.6859190703046104,-0.5744599983748103,-2.077557554181223,-1.3490836386079976,-1.3284730813185255,-4.069097205202445,-1.67860051292934,-1.6906923842901185,-4.187409055393074,-3.374431881988398,-3.3724745022058453,-3.7921913124525193,-2.1884867431917807,-2.776030576235228,-2.548197691679661,-1.5069423730540144,-1.938984977859528,-2.62713348536664,-1.2961816126921315,-1.5435923540212806,-2.506178783930295,-0.8850264956618054,-0.8160779602196224,-2.5579399012404282,-0.0012096152886574135,0.0,-3.974036448191924,-3.684224796395127,-3.6426152958800713,-2.924733138315561,-3.301272730804827,-3.281688596988807,-3.75863421769583,-0.787402151706437,-1.229391882534975,-2.0454082583413746,-0.23874457941013288,-0.0750857102946282,-4.596599126588545,-0.8761299510744773,-0.8029195910443565,-2.381218307373635,-1.5674424108660707,-1.5509977338861374,-8.152826996868797,-0.9583555751494737,-0.7537810876321414,-1.3041195706634805,-2.933842336053149,-3.3075397922021694,-3.4404458715174977,-1.2712356650418946,-0.21469135863634994,-0.3004692526219293,-3.870226536631421,-4.220845678766625,-4.267363694037842,-4.751360259637542,-1.0575755492771404,-0.8304466242136374,-2.9800115657137214,-2.0087988874111105,-1.8893280509884423,-4.083073778399177,-1.1158576847727617,-0.8509848403455076,-4.309419151583991,-1.2936711082070145,-1.6378480971558425,-1.2310700523125953,0.0,0.0,-4.345606664250086
25%,0.0,0.0018435090673773937,0.00040004493858264553,1.3521722960065925e-21,0.00032724558717031176,0.0,0.0,8.255408883273285e-14,1.0048436887735954e-72,4.167109449745839e-37,9.58838719550463e-30,-0.01698889008652455,-0.016049650621318145,-0.004054608515201504,0.016589037785419616,0.01671816680496536,0.0019904854277910445,0.0,0.0,0.002823144832084893,0.0,0.0,8.267596314964532e-39,4.510165054024545e-06,0.0027575677915835763,1.5855249441742935e-17,0.0006346316580724856,0.0012531122685280934,0.0004312556184068338,0.0,0.0,0.013548023888430207,1.2037238674270605e-58,0.00028602363751950474,-0.003938904420996514,0.0,0.0,2.625834011920101e-17,0.0,0.0,0.009611883178344008,1.816139879628938e-05,0.0016082388774398507,0.0009026133601395981,0.0,0.0,0.0,-0.0004370094906932724,-0.00038628722585332565,0.00013330924407322468,0.001699632401695,0.0383452536285746,1.5393431790312612e-64,0.00021891420696740346,0.00025502630572945856,1.4408392603584854e-08,0.0,0.0,1.778510899207407e-12,0.0,0.0046170581181366665,8.931635648812798e-12,0.0009020142109137343,0.0020963489645427925,0.0,0.02453936067952675,0.021469342695088767,0.015129074723809456,0.0,0.0,-0.007645087191163791,0.0,0.0,0.0,8.226963696100031e-06,3.03042445451022e-05,0.0005448973482259776,0.005322047765841864,1.4534409882236693e-36,1.7750289846198796e-35,5.118343869967498e-10,3.708321954312155e-60,0.0,2.807588518388535e-06,0.0036343490536235225,0.01046938520335837,0.00031121327289738055,0.0,0.0,4.73844789005744e-05,0.029374700328745736,0.02991667112199703,0.013255976891787338,0.00018915096840086256,0.00041434151185635454,0.0015884301616716982,0.028875714761203333,0.029635636632938084,0.0021917161281196237
50%,0.1144241212618009,0.12199182703029432,0.18812663519389727,0.1736213446706803,0.23959423975196004,0.12145030500952297,0.11499938245119737,0.165803940253964,0.057111646046213965,0.06753234117100942,0.0850576202762851,0.01563008142465829,0.015905118664156788,0.059251393595984206,0.15430211895820334,0.13785980302528839,0.1990918720330835,0.0762581275315454,0.07671052162459369,0.2040017180199573,0.08488890574674507,0.10245500884501946,0.1330318540561204,0.1866562193465603,0.20675843554534698,0.1256393733463943,0.2076384749705831,0.20725904953017665,0.1614437986935457,0.09195017995508747,0.09327383408689224,0.25863653583708557,0.09555691099503666,0.12110786915144087,0.08218321776706214,0.08785329905932818,0.08500320331819118,0.08693364912879686,0.18271654281505567,0.07354037856935815,0.21388259005974436,0.09915027127571817,0.1152098539188775,0.13450354395332573,0.12204350450719886,0.12014577181613406,0.1328399187420664,0.06798496659828694,0.07069682407252167,0.10443038857924433,0.12893917839875801,0.15171656603215491,0.10691398671898579,0.09910766742874658,0.1026852042856351,0.13081428259267153,0.06725514238097409,0.0838774570720679,0.13969559413311242,0.24433280113859224,0.24010159789271546,0.3054024570683942,0.11320093827503808,0.14448976696326454,0.1412633017784905,0.22683247905136253,0.2261755478176692,0.3927184611079386,0.09132156426781404,0.09175049085025835,0.07145807153377629,0.2280458998554127,0.20901346932811848,0.18835064753377784,0.17106974271385306,0.17213326955881755,0.2797074124786171,0.2120997904990376,0.10170759832054815,0.10253679051657391,0.20266266627341453,0.07253211768208442,0.07322707861705441,0.14668180324924535,0.2093129674211866,0.21588561444767698,0.24496733489764463,0.06440759209195829,0.06172098175356776,0.13659058604822835,0.11672651393900088,0.1161015997569455,0.18900341174407095,0.1152171736601524,0.10733115160612716,0.12203848277346632,0.20847970449343692,0.2130768870921516,0.19193465388750572
75%,0.689055892432347,0.46475430499863335,0.7055726189157894,0.5906739268557707,1.0,0.6112508298141263,0.5874346450980485,0.7820655593632599,0.919499012839186,1.0,0.8238458206688942,0.8864302072625255,0.8839106934071238,1.0,0.7176782284296254,0.704656330177913,1.0,0.6968962934961442,0.6643136295469805,0.9592713208288577,0.603513639325781,0.6809766256365672,1.0,0.9977358642044976,0.8062813996647488,1.0,1.0,1.0,1.0,0.5725872921797672,0.5622619170700103,1.0,0.7817428980020797,0.7687389911283959,0.7044683689011884,0.7246161295271502,0.710744777244775,1.0,0.6337110476553269,0.5232887901149665,0.9368046743028893,0.6610651048698357,0.6201265775673108,0.7873188856314897,0.5929078357549475,0.5393333836063805,0.6777874059604141,0.6601214533301429,0.5863323686532963,1.0,0.8649398781511443,0.826861410341066,0.9474611588158398,0.7502666754671418,0.7636199217320265,0.9449810018861672,0.6499778138973809,0.6212653195245577,0.8836738162347909,0.49117472567245946,0.4523242452701437,0.4715893496632455,0.6625285901032989,0.6329948220606607,0.593202424175333,1.0,0.9938130910370595,1.0,0.34049648203763294,0.3435890107658963,0.6978769952986568,0.5041956675064245,0.48928817983666584,0.5907794698065472,0.8314254550784355,0.8408674844179607,0.9564532025360558,0.7327205042626366,0.7716470770605086,0.6163579736690452,1.0,0.7507596374072907,0.7451525077901047,1.0,0.6772171248246688,0.6604614591657454,1.0,0.6913344921620227,0.711157481100442,1.0,0.8756308053247479,0.8681946761926012,0.942987087897594,0.6612384704433935,0.6521363192333129,0.5771142727907175,0.915316569171643,0.8769241559063383,1.0
max,17.637569580190704,11.500266984061401,14.37266018336368,11.599230850965025,11.944492591692551,13.892714021176955,13.603291874650836,18.357677441404334,27.91133606145942,27.85751314621522,13.280177054163993,37.055309253431005,36.671890652686486,25.023949360576356,17.232194125969905,16.723349370549464,20.278692213480888,19.38727571526455,19.189407909511182,12.198617956002629,19.80740534195813,19.38156825113996,16.15243183093243,17.003940519964985,16.104848503217205,17.461966669616288,26.101871683900836,25.17069173319814,19.143865014540854,15.81512841086451,15.445941713589837,15.057804986392176,22.7306202675031,22.007383931501643,14.041392970445203,21.215984911870777,21.032596555745542,19.045737644433142,14.588224601352557,14.17032848898976,11.931582597204656,12.473807802579394,11.963214015917199,13.146660795879885,13.921163721149206,12.515296891006763,12.791221617874628,19.73936655504638,19.167173855229155,17.2701145199455,26.340274465620833,25.881208732651405,24.83434674721808,22.791166276547816,22.324753435180412,14.186244804477449,17.74482209791438,17.604385325988428,10.68267639861571,11.637930051216985,7.80885814786394,7.510779935841809,17.293848235957228,16.610109506128044,11.577400473113888,12.048737271493238,12.037627960831012,11.139803120239478,12.417478994984155,12.339032229449543,10.17270461521178,3.303153820646585,2.4048559617360485,4.980057531587344,19.715062345103266,15.46350652174027,8.334183886616714,11.315724974610228,15.439099914391258,15.094701991276997,13.604965984911747,23.262042830780544,22.961905983667137,19.50306797224625,17.613203856002738,17.19099025099615,13.37729135354733,27.515429586206544,26.93869017706879,22.372979627575756,28.46677667140583,27.964338583170896,13.51044927403182,12.836753534190313,12.459324160272285,13.713258912753687,23.883293071842786,23.356442448704307,20.549571100284414
