,Aircraft,Almost Nothing,Apparel,Automobiles and Trucks,Banking,Business Services,Chemicals,Communication,Computers,Construction,Construction Materials,Consumer Goods,Electrical Equipment,Electronic Equipment,Entertainment,Food Products,Healthcare,Insurance,Machinery,Measuring and Control Equipment,Medical Equipment,Non-Metallic and Industrial Metal Mining,Personal Services,Petroleum and Natural Gas,Pharmaceutical Products,Precious Metals,Real Estate,Recreation,"Restaurants, Hotels, Motels",Retail,Steel Works Etc,Trading,Transportation,Utilities,Wholesale
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,0.7588855722334138,0.56318267381175,0.81564731900465,0.5516671231217395,1.199075541597385,0.9879451273794931,0.9584796227116957,1.00192986696707,0.6912735646904474,0.8310253203880396,1.2111912048549207,0.808322467979266,1.0796538555900175,0.7656319706445012,0.5579135351641098,0.7796384277833711,0.7458472762300081,0.8343699254320301,1.0285168897163735,0.9226757895190177,0.6900462312735305,0.6041605108841592,0.9792798128700879,0.7436350044065128,0.5050928695470915,0.3529166038131976,1.1327972263375254,0.7601937423033703,0.7218334887319038,0.7099179342591957,0.9324875269507118,1.0360632020850593,1.1315091573688332,0.6365049146880769,1.238487634214531
std,2.1287375606213064,1.869446729220961,2.4879383349827684,1.9430849307717006,5.40608152152318,6.710494069596854,2.9558542963574674,3.709015793988693,2.888926496344686,2.31842052751966,3.708137394095488,2.685925109495129,4.094314006683003,3.28345988532245,2.8616687113133685,2.021449629472086,2.6533371069525615,2.361504109052406,3.0638944233040277,3.6260919808512426,3.4905883403621205,1.8057266981062803,3.4126688902824456,1.765062639444635,1.934758052455494,0.5731576699368399,3.9017599548068107,1.9530490289699967,2.0796803915791657,3.555043363170473,2.7073425552562753,4.007859233320131,4.839057706586931,1.8117002772488806,3.661115902829418
min,-0.1426827264026703,-1.1550646015129828,-3.0156147726498843,-1.3743271877078969,-4.972584701874142,-4.682780567937704,-1.5714843558925193,-1.3098294032731421,-0.96495760973615,-0.8366788257015354,-1.808874744904928,-2.2399151770220227,-1.0861455994469582,-3.167692890411423,-1.9388901316150604,-0.5196723502352828,-2.1331645720876247,-0.24111793130462378,0.0,-2.5096222918655693,-2.7378044787989966,-0.967602449884692,-0.5593380623898135,-1.1118703775372898,-2.0411047044303277,-0.6476008417493101,-3.0466194842264556,-1.4822719171538894,-0.8251798771496887,-5.257599526507086,-1.246443417664768,-0.7300480476644219,-1.775854252586432,-0.9414818044330205,0.0
25%,3.785914899835756e-33,0.001774206482606688,0.0010175617686132901,0.0,-0.00013979693255283427,-0.025424994874014305,0.016380973915310532,3.1033040546002267e-97,0.0,1.0141540061776525e-37,3.8392091344484676e-08,2.390112997705448e-43,0.0,0.0,0.0,0.0,1.829253072373481e-48,0.0006120576980831129,0.039457671303237414,0.0006345678422829779,-0.00021461134130432337,0.0,7.658822442249113e-83,0.002709466873116056,0.0,0.0,0.00011906112145161296,0.009453404828297958,0.0008673753102712933,0.0,0.004920034070084272,0.0,0.001103427067090519,0.001774477829027646,0.04174987130212713
50%,0.1524199981028989,0.1949708604811196,0.20683473744143677,0.1911214492790133,0.050761141238909666,0.015398515440073684,0.13297735491311624,0.09632994665764233,0.08074743700057947,0.18700360587766982,0.11043712347254353,0.10457780567837505,0.09404419029685637,0.09192939160729947,0.08624028798678512,0.09477186023148748,0.13180664633746053,0.1263241908738068,0.1931841862398933,0.11391437866563335,0.047370834944016074,0.18784902677421608,0.13798288016785432,0.25621126005240225,0.09501099414173668,0.24409691941269518,0.13654025633707875,0.20326430568343207,0.1671204461757171,0.07095070401862448,0.2260557724979998,0.0727026930159521,0.11976675274714041,0.14250995152850843,0.28080979215943347
75%,0.775589505388512,0.4649108052941179,1.0,0.5584536046551307,0.8943616719405285,0.885080325394551,0.8095369648827001,0.685259725930487,0.5569028471842653,0.7262643267242687,0.9131871016636802,0.6207232507164158,0.7662857326297057,0.6922970089927396,0.43533123476384805,0.623366447955682,0.6379523659339398,0.6920730808886831,0.809523593418592,0.7336210097234583,0.4958569217590424,0.4820742718589134,0.7004692691304413,0.7582762192461896,0.4381756836785974,0.48005138543351444,0.9623074741384641,0.7097754531205185,0.5858192043829703,0.7770089579948644,0.8313093857680341,0.8226293782319645,0.8184981713003779,0.5098652794973156,0.9240584231266833
max,11.970898710454914,10.526999195005974,12.901146165281022,10.371030690079133,27.13831335447598,37.01254984657314,16.488117318530318,20.912302689598786,16.33190535793586,12.814952852788366,20.131837952575413,13.783878227720887,22.84246728538657,18.108004556301772,15.829857355116115,10.540056211666602,14.609612732880196,12.825436661415736,17.383510901528698,20.259263906518203,19.359328740533204,10.074949803910737,19.266767933820546,9.140722504856727,10.351979188698651,2.3128197904790158,21.347449623234777,10.494903192579995,11.49936595102818,19.22937429148687,15.139197527892836,22.67045363310097,27.454489523269142,10.050758719840308,20.725731962675933
