,Aircraft,Aircraft - Small Cap,Almost Nothing,Apparel,Apparel - Small Cap,Automobiles and Trucks,Automobiles and Trucks - Large Cap,Automobiles and Trucks - Small Cap,Banking,Banking - Large Cap,Banking - Small Cap,Business Services,Business Services - Large Cap,Business Services - Small Cap,Chemicals,Chemicals - Large Cap,Chemicals - Small Cap,Communication,Communication - Large Cap,Communication - Small Cap,Computers,Computers - Large Cap,Computers - Small Cap,Construction,Construction - Large Cap,Construction - Small Cap,Construction Materials,Construction Materials - Large Cap,Construction Materials - Small Cap,Consumer Goods,Consumer Goods - Large Cap,Consumer Goods - Small Cap,Electrical Equipment,Electrical Equipment - Small Cap,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Entertainment - Small Cap,Food Products,Food Products - Large Cap,Food Products - Small Cap,Healthcare,Healthcare - Small Cap,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Measuring and Control Equipment - Large Cap,Measuring and Control Equipment - Small Cap,Medical Equipment,Medical Equipment - Large Cap,Medical Equipment - Small Cap,Non-Metallic and Industrial Metal Mining,Non-Metallic and Industrial Metal Mining - Small Cap,Personal Services,Personal Services - Large Cap,Personal Services - Small Cap,Petroleum and Natural Gas,Petroleum and Natural Gas - Large Cap,Petroleum and Natural Gas - Small Cap,Pharmaceutical Products,Pharmaceutical Products - Large Cap,Pharmaceutical Products - Small Cap,Precious Metals,Precious Metals - Large Cap,Precious Metals - Small Cap,Real Estate,Real Estate - Small Cap,Recreation,Recreation - Small Cap,"Restaurants, Hotels, Motels","Restaurants, Hotels, Motels - Large Cap","Restaurants, Hotels, Motels - Small Cap",Retail,Retail - Large Cap,Retail - Small Cap,Steel Works Etc,Steel Works Etc - Large Cap,Steel Works Etc - Small Cap,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Transportation - Large Cap,Transportation - Small Cap,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale,Wholesale - Large Cap,Wholesale - Small Cap
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,0.8991137725137965,0.8097746925483263,0.6013289867163777,0.8243749351645893,0.9524167219955736,0.5844558240088134,0.5084795626309255,1.1434794495624274,1.4182078992162455,1.3898142064077281,1.4549597582899914,0.9394253017171484,0.9141755741193489,1.02457170151245,1.0127777550643426,0.9395235199837176,1.3984006999817953,0.9002847159788525,0.5591013759652065,0.8201840928273361,0.7480476150443782,0.5934009408922186,0.9304670763651325,0.9160519424098696,0.8951738553629522,1.0241477102799608,1.406584498832324,1.3384350798852742,1.2559512181013526,0.8679030276629697,0.8255288497404818,1.1984450373928996,1.0188197628042976,0.881380718285307,0.7985023210120488,0.8178723050258478,0.8760866695717888,0.5192802322340324,0.7411368001222032,0.79360731984228,0.7460889558870922,0.7590106468899684,0.6986162309005493,0.7261538848894209,1.012901312538337,0.9732754938643291,0.9677731410656327,1.2466877027780858,1.1978911393297376,1.3171528462734603,0.8903177856680943,0.8387624009090584,0.8358938745924556,0.6975466168993624,0.657724094194017,0.7583017602745233,0.5818757172382999,0.5644431519303191,0.931519792412749,0.7259865851709533,0.7024210221776679,0.8905785541255878,0.8925126970591108,0.9159138360847855,0.5515461225970049,0.5176878136929004,0.4705119686191117,0.3490976583014411,0.3513971508851083,0.403165791848704,1.1696625768066236,0.8110184309709049,0.7730914457264056,0.7052397801194981,0.8161072122232438,0.6929953980614613,0.9493251659801809,0.8408039646466394,0.8039898290918358,1.2840892616660247,1.0005811405029506,0.8599842917547578,1.0749307043474277,1.1638373912781708,1.1423612560613536,1.2045019383314681,1.1305915594402223,1.1120267960600094,0.9497420133165395,0.7022472905460762,0.6744715199014564,0.7169109294745547,1.3453639261311836,1.2406246179267009,1.5377117394625137
std,2.788846389641071,2.3757714501488927,2.024480099664772,2.4735481530771564,2.4749451831543663,2.334042954183877,1.976156642677508,3.5504607995108044,6.449752307708452,6.358105053710545,4.172437750182119,6.552738291640449,6.4232208306112,5.595392432799779,3.359999806457401,3.2109257777886877,4.015399684117174,3.081418996460942,2.011851809993476,2.4507086200135832,3.3136025080336724,2.743038130249524,4.196090935782834,2.7188380906256437,2.463489045807787,3.150269077895547,4.48995712365572,4.26427833850842,3.8951748238367014,2.951961511559125,2.859184962839213,3.1634833369495343,3.888513135806164,3.433045517966294,3.4801455977505285,3.4361026798131333,3.6688766585207917,2.4907466595446883,2.2959278807491876,2.164169764770248,2.03850113930804,2.1346611934326183,2.3325979243437103,2.618244777964326,3.1867382157415225,3.0089247908324523,3.349381587110939,4.352661145317033,4.175904722896727,4.890194549075561,3.6458433601035964,3.3592107102694424,3.841749366697678,3.2915898100794707,3.231961813977629,3.0376478767789377,1.8640990954896155,1.9106896466000565,3.2022935716610292,2.2728323438010913,2.494169535999332,2.410319269513836,2.4103506986772727,2.072637424717273,2.1623717305302232,1.7458436906950712,2.5895594072989923,0.6017834718893633,0.7082930616374614,0.7324737734520912,3.8167446328398897,2.298952632957688,2.0201524613721022,2.0427919367012035,2.530200272933982,2.161351933973474,3.170110807216889,4.3609704632768365,4.289522214899117,3.9286745254280797,3.0816169471291825,2.273439182632682,3.104239929837525,4.679663686987018,4.583098245073978,4.026049387036297,4.733883512406854,4.638390549706581,2.799602019824647,1.9878518668692,1.9198674558815993,2.3529290339511744,4.150133298250601,3.7925730763097207,4.700129010205534
min,-0.20362816508174938,-0.4916660783529597,-1.0724851589447066,-2.7589320986492774,-2.0279266474790947,-1.9731957701526557,-1.9358142386535349,-3.371482932837714,-5.098991149171341,-5.260343466425313,-4.205158240039129,-4.716009585698885,-5.343569040109588,-5.816800909555194,-1.6661396863723863,-1.4379222815311146,-3.357886076291777,-1.378885302834179,-1.707943075800783,-2.3001135388179144,-1.0243548946346712,-2.0847526539503383,-2.563426010922896,-0.9137105310413896,-0.8956972037435048,-1.5006483940074076,-1.7246899413469474,-1.5900291290864401,-2.435777635451146,-2.2296666901489894,-2.2275416804925685,-3.381656215763006,-0.9313173232295159,-2.0918858006215095,-3.1353997111415257,-3.1114738112365004,-3.397629760639161,-2.335198255996398,-1.5599326273123242,-0.7928905113859979,-1.4972749017239244,-1.51805444417091,-1.7274459561061888,-2.321485543938307,-0.09763437949457705,-0.050107881017526154,-2.1260013518802006,0.0,0.0,-3.378546383285151,-2.7193868877060634,-2.585107107549105,-3.05107086313388,-3.290706377020991,-3.131235521733412,-3.2340407824808586,-1.13181304706833,-1.712456715438454,-0.6038411518959478,-0.10785333794303353,-3.8945239761105364,-1.2330655686180316,-1.1358751558982767,-2.3006881443758895,-2.5012639849707843,-1.8826736632993168,-4.770913062721834,-0.7082115210687078,-0.8429294651254955,-0.560884336323294,-3.1678975351793124,-3.2140996299371127,-1.3597623951143145,-2.6920278557584547,-1.0194959937902197,-0.6674156278915467,-3.366643968348667,-5.243178891521345,-5.230885495656736,-4.3576698603605815,-1.4088353776597402,0.0,-3.2227227472100104,-0.6549893590299881,-0.5600188656243821,-3.5269237284378936,-1.608014068882476,-1.3694408725966911,-2.783323423676282,-1.0864217431554908,-1.4116801843405156,-0.9453872536158058,0.0,0.0,-3.6290328499506694
25%,4.5592521372592634e-36,0.004308509620321079,0.0018655442840150391,0.0025469319975974744,0.00015271971394820324,0.0,0.0,0.01376185282854696,-0.00014114889691949756,-0.0001316666412733287,1.421241190268265e-23,-0.022090133637245758,-0.018469797843394555,-0.0023508084406396275,0.030280520159576087,0.002437595032476264,0.002248071065585084,0.0,0.0,0.017818875046298713,-0.0006687540837248311,0.0,-0.0011468725457282117,0.0001525023816989276,0.0032030582812138404,4.9295051891289675e-12,4.541118938741342e-05,0.001825509009701444,0.002253937964604009,1.140451518227178e-34,7.231631725119681e-33,0.0006592270287753262,0.0,-0.0009466251250310897,0.0,7.119690095684518e-46,-0.0022897574386017143,0.0,5.609541486071038e-25,0.0,1.8031508231498522e-06,0.016544286694010077,0.0,7.907496748074333e-10,0.0008596131082402059,0.0010925290922542692,4.9771440174083446e-42,0.028829454406849104,0.03864980627549332,5.57682070163676e-19,0.00044592704461735304,0.0012180879561219191,-0.001180978916380606,-0.00012709848271809515,-9.373253531205696e-05,0.0,0.0,0.0,2.2443321586101436e-43,0.0,2.069488722299e-05,0.002635317454057913,0.0025984394965707334,0.018337094523670487,0.0,0.0,-0.0007087987854320819,0.0,0.0,0.0,3.8100521873536045e-06,0.0011522520468639208,0.00512710779765535,3.3392491188717113e-07,0.0006118048238083301,0.0,5.848552582691529e-10,0.0,0.0,1.608242954524845e-05,0.005163899672268791,0.06995902323747262,5.7618953424102185e-36,0.0,0.0,4.141929213207018e-07,0.0013118289683586245,0.0013449938076757495,0.0020593821284230554,0.020674932433263488,0.019273078398876507,0.0016494619872026049,0.03201434691222571,0.037263445248149424,0.002343901721057525
50%,0.1361932160800282,0.19138514204615298,0.12013584967036366,0.1929948348163088,0.2091517949515545,0.13675594812078978,0.1479050098775101,0.22911583156372206,0.043296089009604244,0.04860531343688709,0.10120958696857615,0.015880841009277107,0.016439890343848358,0.0520900826771639,0.1352358254202194,0.14076335731577,0.3442203911825959,0.09259019947202142,0.12827655668316346,0.15805010722532678,0.06002897017088039,0.13610215460140115,0.06711337529647653,0.16560229577159183,0.2775412016388661,0.15794923369650526,0.11802712273539698,0.19974222222605142,0.16826380017562204,0.09096828403866357,0.08145852854538413,0.3110327170397004,0.1000765871862157,0.08207261368639374,0.08551260051977758,0.11119098200477608,0.08686312136464969,0.1296451838833132,0.15141012386449726,0.09533218420932896,0.1163585665715225,0.1377762508911805,0.11521908734874348,0.1408927212044941,0.11229390613360635,0.11972046152282753,0.08891281471292423,0.15176955811806025,0.15971171541817253,0.11728540387855718,0.10127353344575302,0.1079234017610752,0.07386648253142111,0.06555868313214581,0.06721616402368213,0.09866155014126876,0.22063985348604293,0.22725534058302466,0.12602386478318667,0.14079313975077906,0.15669603450956654,0.1997328530644445,0.1896238456634895,0.43364239674417976,0.09590770731669662,0.08605542558459747,0.10179161932548958,0.22039768441443713,0.14904117670337774,0.2826343875741557,0.14366501355308334,0.2355434931753035,0.20753845724438014,0.22106959442783625,0.13069913100878908,0.11889198057240014,0.14075033469256754,0.07110715502819168,0.07219914206916855,0.14309431844323972,0.19035442008251746,0.27940945900224573,0.1697427801206206,0.06984978551547133,0.061863691451117725,0.11447350513841412,0.10851758868496626,0.11683925184554822,0.15608185533341085,0.1936090674054506,0.1479405676067848,0.11520844266625632,0.2638217188327004,0.2401596061749503,0.19259622600106047
75%,0.7477847077788489,0.6781937290025652,0.4645947304084621,1.0,1.0,0.5629283506640972,0.5456451409860573,1.0,0.900486695675845,0.9230375066543546,0.8692348124426621,0.8873226778706683,0.8817707012566327,0.9182005771762306,0.792314426463955,0.6881750213472981,1.0,0.6897532628452898,0.46509194006042304,0.9137617622213993,0.5546900917464527,0.4787251513592591,0.7952889963402255,0.7278719108352176,0.7508079195330443,1.0,1.0,1.0,1.0,0.6168096636613307,0.603073527548172,1.0,0.6924277375431779,0.804085608553428,0.6919674087371255,0.7687336745229639,0.9026706798062395,0.5283063979617088,0.6278409442256463,0.6056496139766213,0.5908762521844348,0.6767417714806299,0.5654109016592924,1.0,0.7013792008115862,0.682843188110501,0.7600114944133902,0.8802503426908611,0.8196036944206325,0.8658987949395183,0.751166457076673,0.7065011396901832,0.7689324444424614,0.6487514529708771,0.628546537966331,0.693780975032938,0.45457119099555465,0.46913348459499016,0.7018510809447448,0.6372830125507241,0.6174866903593665,0.7336480286224633,0.724210313870891,1.0,0.45253234993803354,0.4164985660823518,0.7054421797062063,0.49213835670785555,0.5229712313519379,0.5879426735251421,0.8881808325905918,1.0,0.6780263025311672,1.0,0.5662725725482175,0.5950445137549409,0.7829467311203963,0.714518867238328,0.6026562041486081,1.0,0.8565480881460693,0.6326418941633762,1.0,0.8226244348333746,0.8143380339577891,1.0,0.8196775974635612,0.8119125732165713,0.9600371574618048,0.5802721446001479,0.5940107373518282,0.5378751215033017,0.9246300872989286,0.9160253069814805,1.0
max,15.608392506657324,13.43623329492113,11.404888622732319,12.983536465352621,11.712790877789978,12.567596491579284,10.483223976060144,18.828265475103382,32.67968966914742,32.22179052316274,17.429261065306495,36.006372612339284,35.180095409078305,27.718801299024584,18.88630626236904,18.069580219002212,20.59581969534976,17.130434431303204,11.066942604034013,13.39112100192132,18.731533639564095,15.135863217265754,23.044717923124114,15.104187585477051,13.72056440336967,16.401918263310222,24.815416305081282,23.77203319718179,20.56758736054978,15.141764405155804,14.542356445233915,14.591343540550048,21.645756434763033,17.862422690925843,19.216516211837334,18.950418759644926,18.177150476824064,13.554390746036903,11.921177367431486,11.254730344423322,10.132202311855748,11.67717838413923,12.703937231741781,12.817857644055568,17.66083188518969,16.707110926036606,17.622542183488285,24.804804920159558,23.844810478852345,26.014571764630375,20.36342135028086,18.803034598495756,20.774562678435657,18.048320587958642,17.622328405261428,15.432975587240524,10.404756487687132,10.495785211354162,18.084384213515527,12.935285154560878,12.862119578874617,12.516401276077357,12.537272657998534,10.375591202481523,11.532862016059333,8.964248115798025,11.271721077029913,2.558751089385194,2.728417072949197,3.77548589498305,20.479638147534917,11.44813150797008,10.99506239742751,9.721835944183306,13.897285229969075,12.015523940277337,16.641621841644955,23.973321244348707,23.524087185936125,18.819681869690086,17.253908768718667,12.889165554915262,15.574404277972185,26.50665650229636,25.99612100615535,21.250084575985763,26.861255426897724,26.354431373489238,14.640124692384703,11.037855038872149,10.549564543185088,13.259305539944632,23.49408727872824,21.55844971704715,24.456283005438436
