,,Aircraft,Aircraft - Small Cap,Almost Nothing,Apparel,Apparel - Small Cap,Automobiles and Trucks,Automobiles and Trucks - Large Cap,Automobiles and Trucks - Small Cap,Banking,Banking - Large Cap,Banking - Small Cap,Business Services,Business Services - Large Cap,Business Services - Small Cap,Chemicals,Chemicals - Large Cap,Chemicals - Small Cap,Communication,Communication - Large Cap,Communication - Small Cap,Computers,Computers - Large Cap,Computers - Small Cap,Construction,Construction - Large Cap,Construction - Small Cap,Construction Materials,Construction Materials - Large Cap,Construction Materials - Small Cap,Consumer Goods,Consumer Goods - Large Cap,Consumer Goods - Small Cap,Electrical Equipment,Electrical Equipment - Small Cap,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Entertainment - Small Cap,Food Products,Food Products - Large Cap,Food Products - Small Cap,Healthcare,Healthcare - Small Cap,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Measuring and Control Equipment - Large Cap,Measuring and Control Equipment - Small Cap,Medical Equipment,Medical Equipment - Large Cap,Medical Equipment - Small Cap,Non-Metallic and Industrial Metal Mining,Non-Metallic and Industrial Metal Mining - Small Cap,Personal Services,Personal Services - Large Cap,Personal Services - Small Cap,Petroleum and Natural Gas,Petroleum and Natural Gas - Large Cap,Petroleum and Natural Gas - Small Cap,Pharmaceutical Products,Pharmaceutical Products - Large Cap,Pharmaceutical Products - Small Cap,Precious Metals,Precious Metals - Large Cap,Precious Metals - Small Cap,Real Estate,Real Estate - Small Cap,Recreation,Recreation - Small Cap,"Restaurants, Hotels, Motels","Restaurants, Hotels, Motels - Large Cap","Restaurants, Hotels, Motels - Small Cap",Retail,Retail - Large Cap,Retail - Small Cap,Steel Works Etc,Steel Works Etc - Large Cap,Steel Works Etc - Small Cap,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Transportation - Large Cap,Transportation - Small Cap,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale,Wholesale - Large Cap,Wholesale - Small Cap
Beta,Alpha,-0.0003216704398450694,0.004625726229882559,0.002599377552741501,-0.003243298577829694,-0.007579046045309373,0.002423438012474698,0.002564410800196929,-0.01052007907986252,-0.0005591877302113371,-0.0005160990933374006,-0.0006722037450795581,0.001290863619114677,0.0016847910066749062,-0.009974683234118337,-0.0036617758087130036,-0.003235695102447833,-0.007831576063025526,-0.0024367899532269518,-0.004813914075517242,-0.006612021775506898,-0.0022891494365644984,-0.0050691795585057035,-0.0049883871003296885,-9.383077206724198e-05,0.0013379170956008255,-0.005215267648955018,-0.00027365397723785537,0.0007639666623249875,-0.006294795174663551,-0.0026131686733659853,-0.002106476385534202,-0.010438726007845888,0.0004525246504282525,-0.006956139977713194,0.005301543867687169,0.005606492408030537,-0.008849792835890932,0.004033107541623222,-0.005814644649737253,-0.0003160994579941727,0.00037167388619806224,-0.0036244605165982238,-0.002045479940478461,-0.008252272655673944,0.0008157591541786044,0.001131168739311596,-0.0017835314375520752,0.0007907105242717991,0.0015207748110121814,-0.007128469034899943,0.0008460904563773039,0.001882853582048753,-0.004476624292138196,-0.0008584453652172935,-0.0006577779590447958,-0.002246632688610819,-0.0015350283263780523,-0.008508142292564237,-0.001492714619140819,0.001850209679165127,-0.013119484125374345,-0.004013389551119745,-0.0036015990497403963,-0.013728080951705697,0.00242788340699473,0.004042697847630019,-0.004057971194792332,0.003372379100068637,0.011771915855632267,-0.002695031858370026,-0.0012462644017651751,-0.013925690894270783,-0.004821281467754078,-0.012636671891767032,0.0009505497974678926,-0.0001115349782747367,-0.01013483877117807,0.0023912510045455155,0.0027308821491368778,-0.01132749835647315,-0.004139318759744377,0.003099334391037302,-0.0116214778084336,-0.0006732358232035969,-0.00031745908696895897,-0.007319612160854324,-0.0026127008660155634,-0.0022774022642465825,-0.007755763072920099,0.000992085234344769,0.001403696382778244,-0.0021820086150004074,0.0005048167568406952,0.0013562230780016034,-0.006608379170769398
Beta,CMA,-0.03187015118159749,-0.09775749284405394,0.044073728031676404,0.3571287944327987,-0.16397501472788742,-0.6300066015330362,-0.6988364509840891,0.09609906632188904,-0.34207884675473976,-0.33549267933706134,-0.46031359384063875,-0.3174256598558209,-0.32352392092255317,-0.15337743670170745,0.10802723591658506,0.10827894242376827,0.10499121663429824,0.4905346368651884,0.32807562051223965,0.36358478913867937,-0.10824878363748403,-0.5773938974274206,-0.08368346278387312,-0.17871411569646106,-0.18529782018221516,-0.2754699284075374,-0.21946939572969756,-0.21149013209348214,-0.2055638971778548,0.5019916573168011,0.5070999113409554,0.4353303331844647,-0.10593822912699123,-0.27531904671952806,-0.18474151641061476,-0.19144592121161275,-0.020655405645464753,-0.44776579959471785,-0.31933828110574275,0.5906693693782487,0.6487208646421184,0.3479168271205889,0.44931322341850044,0.3018461036426554,0.024468372932947017,0.04795479686762948,-0.2478921305840777,0.028370509759349752,0.020699994496614364,0.09368641703909626,0.029802158363248468,0.049311223356955466,-0.06724799373053347,0.32775423047468466,0.3539598232286253,0.09952262726933508,0.5309103269388973,0.24648276954814785,-0.054187636013561316,-0.02494845424301951,0.0799396914004218,0.32711961531340944,0.33552849387524886,0.22391587292939694,0.41059786681166444,0.5400274267745758,-0.1958245571525752,0.8274644479251129,1.3202766467594909,0.6679798072789855,-0.46701274990193054,-0.033201024700839216,0.09161073727364244,0.3856228295812145,0.07203928419584532,0.12259858002904245,-0.05103624149002956,-0.05948301312709855,-0.0667196479903729,0.08566266157913753,0.04606962233303036,0.13483607248943366,-0.04686273076128886,-0.058492928757466735,-0.050693424347484826,-0.16631352806283387,0.12135215344816216,0.12827556323383754,-0.022777284576367567,0.3054605587398578,0.3158360153185555,0.2184823709591222,0.10048796244032744,0.09330786911684327,0.16234164847471758
Beta,HML,0.4857653713807284,0.20838061848056966,0.034322342013139065,-0.3740208225233864,0.0464225242195741,-0.290346563861574,-0.3343724446261352,0.299629934232844,0.8380198586072881,0.8394488891323731,0.8232652746100805,-0.19328500882566138,-0.1905052377318964,-0.24992483159713838,0.3124397243636045,0.31341966445272046,0.3182895548309739,0.00688542138994328,0.2105800429782912,0.06789974902286718,0.06637730611025221,0.24427339190481367,-0.1993766147566617,0.21119606558052997,0.13324300567734246,0.301562251865943,0.34465471975560646,0.3492365100841048,0.3328640713827566,-0.17265190021115448,-0.17692004877741835,-0.06890342483451047,-0.08970192625764133,0.01024365140535795,-0.33731495599369327,-0.33903845416840656,-0.14767874430270647,-0.12550486526136723,0.2837807286315156,-0.03713788447503435,-0.051782685637392065,0.062464341746827676,-0.08019887024068624,-0.2759333330089538,0.42496168775743026,0.4218616099197815,0.4828311159275291,0.18438167798901955,0.1901804644127457,0.11184760931886761,-0.23148974845164713,-0.23463848911278018,-0.2792621196558677,-0.2798718624746584,-0.2737990551050395,-0.31647886439162015,0.24322239810571955,0.1914279399353151,0.12935135325343972,-0.007352609752337086,0.2244743484171173,0.8713410198144091,0.8593270909875519,1.1178598139399436,-0.23296969566894413,-0.19708231940015575,-0.41927921206837365,-0.20814642219462404,-0.35716629085519236,-0.18317639631932137,0.46877796119524145,0.26144408042921,0.1032062194480252,-0.3231623567332658,-0.09180528570105881,-0.06735808135698255,0.04987075685598277,-0.3611087801995532,-0.3657170017204385,-0.021836025125484212,0.457401013161836,0.4627000266403808,0.6794433451012808,0.20222712913712887,0.19028527209826981,0.4186221582737561,0.10043356901905152,0.09287081102567074,0.30669243107183636,0.05616845289028472,0.05421085852767908,0.04000784046139782,0.15305055700991538,0.1477612726967109,0.22965174787097317
Beta,Mkt-RF,1.1042743832409279,1.1363088944737074,0.7055493735459082,1.0564451659371028,1.0315736802901627,1.5366749339808856,1.508565612237237,1.3649249201121127,1.0521675508454587,1.0688300667070079,0.7457381826660446,1.0916689275101978,1.092410842509323,1.0757172016747854,1.0725257322423327,1.06823625439127,1.1504416471695438,0.8199074235376218,0.8547022482886768,0.8966385781259277,1.1678651774553457,1.4625220990978482,1.1559445557642873,1.2685563876299055,1.274903139477633,1.304681989218334,1.2343031757557819,1.2329396580587515,1.2600004026808926,0.6936715323731653,0.6827622327146317,1.049630004977873,1.250564233417194,1.258965813362096,1.2209708225968843,1.2191949867658438,1.1624424616751508,1.3160109414898595,1.0445734473359671,0.5410636359064268,0.5198560483957848,0.6615008869948299,0.852067967715337,1.035263137663142,0.838284055902015,0.8453920536978348,0.7951128560905077,1.25295009250099,1.248727863927783,1.2914253035505572,1.0398856007770911,1.0233455982993003,1.1364260752144912,0.8812279340765713,0.88328362631592,0.8780121122117133,1.2873856834628907,1.3834783102355468,1.021431825722556,0.9408791482644475,1.0119426359112846,1.0470100583419075,1.0352671869331764,1.4013693121809019,0.6387419589929328,0.5987574781470852,0.8562106297840756,0.46765412967301584,0.5095653061640193,0.7738563912957973,1.237281173884174,1.0408404200045285,0.9558593775650476,1.15110542369507,0.7639268656073741,0.7982558732007038,1.185565573633971,0.9848019259030234,0.9812815850564358,1.1293292311338488,1.3791454838291262,1.3621891077840125,1.344732602885557,0.9358788426061784,0.9304400679043291,1.0267708299171197,1.1234755402854597,1.1299790687807525,0.9677079825862634,0.5771254750256645,0.5637304992539943,0.6934888632774938,0.898744564168911,0.8885566892364284,0.9940510811526765
Beta,RMW,0.030847488829650577,0.07483819705075337,0.2110556364653701,0.6827051659733103,0.7205390418482694,-0.17210478248848424,-0.18177873270282888,0.18631902513335044,-0.37557820251741036,-0.3988873978891004,0.06437702755311851,-0.10169997949605722,-0.08627910322910703,-0.434834096047826,0.27948486326838284,0.27058896403772026,0.39944037760385426,0.1761192389860804,0.04327256275479903,-0.012803463038304052,0.016184789538973923,0.14565084768095332,-0.13996685590526092,0.3600481354615595,0.5141424223176259,0.24977511269382172,0.26487634994350207,0.2637194535079916,0.28262336604126737,0.5964071568308327,0.5958688118329935,0.6839562066847037,-0.012781427800973634,-0.21307689324371787,0.314265107174921,0.33031116655882137,-0.36348290063842564,-0.5280499495926332,0.2728854202410017,0.35337899096414704,0.41504926160450856,0.13723405810411402,-0.263815553363382,-0.36754321069839463,-0.028644646475787374,-0.023931139793988386,-0.1598493861768245,0.06947443920727508,0.08564128694859431,-0.08449775900436643,-0.052938482685109686,-0.03860121705582671,-0.14735786118820232,-0.13706520142596798,-0.12092346655967533,-0.247046380987429,-0.24685590307632546,-0.17258442041538483,0.07482653906278051,0.15845949201138024,-0.15284794711517888,0.09930302613693603,0.10209892639351344,0.14063459996362201,-0.10504665771565788,-0.0011521294720903256,-0.7961623544701695,0.28599298789953487,0.2474947913275959,0.2982597259593625,0.009276358247216558,0.27046241487252476,0.5856415020720047,0.6901287796844224,0.5382848403348207,0.44650111661122754,0.24779397534491765,0.16133945305464764,0.15638828964800605,0.5611753807225849,0.19724877617798442,0.16016908651484882,-0.04518319844526113,-0.010777023927892228,-0.020257527366817584,0.20452245492338608,0.12879592821948138,0.12629735891981772,0.1643011892816289,0.25828706963813836,0.26737234084419836,0.19722676834714362,0.26685709677294156,0.26943404615084277,0.27548443867462646
Beta,SMB,0.09566949063165371,0.35584970197453775,-0.11828719733857497,0.4069920680818752,1.1370106049328672,0.6078640641816065,0.6041976995311548,0.911560985661123,-0.08425973016295503,-0.13774807556013816,0.9075914349237477,-0.2658252118719627,-0.30560332737035556,0.8127561020483696,0.18247678723214275,0.11754555576728153,0.9799442811690795,-0.002089098040059554,-0.09811275197443277,0.3784453812325899,-0.039678569367548135,-0.08747822599823019,0.3640274449000002,0.585250648111197,0.5411961489769063,1.012872766719162,0.5422344608788053,0.44481599035092495,0.8850268041932029,-0.07493873968013773,-0.13001989266759492,1.2279016509591678,0.5433974772882414,0.9127370277172843,-0.052213889840650465,-0.06965620951762262,1.0494253627389032,0.1375052312934518,0.7399954142538887,-0.04773684026444215,-0.1162176682309389,0.327341498713961,0.303939945906383,0.8991240437484629,0.03560575404806777,0.011904678808608944,0.2591814676465117,0.3089503707575327,0.2602883588630727,0.8926460070868363,0.26819167168767855,0.22617620767630786,0.5074387487990846,-0.0686877357692117,-0.15995377773240144,0.6713663562887998,0.14634328790469545,0.5048790713840021,0.31521103015330953,0.2169106641920744,0.5902427579295152,0.2462286332895219,0.2245799547068181,0.9491399407085837,-0.06385570680225229,-0.11470806535719565,0.8761938830339369,-0.02995544891491039,-0.16925419476411963,0.4293644581469888,0.6232925714017385,0.9133604445928506,0.4454298985252971,1.2304164386402943,0.10314391318230218,-0.034976779985916244,0.8098554286592784,-0.017661871007557048,-0.04606895704433972,1.2035153605061104,0.4136193577642768,0.33853026283412396,1.1029779874834686,0.0838250939351729,0.05907716434916784,0.5706814317942502,0.11946822277731144,0.09547966723517669,0.6642979361938505,-0.09364879333066842,-0.12683547584214463,0.17695968517659683,0.2947624875459254,0.24354758137826554,0.811930765095625
Pvalue,Alpha,0.912931498702906,0.18950274556118527,0.2919689140500464,0.338552827299006,0.03850143467452146,0.6328484954593518,0.6607072952772661,0.0005927005739452018,0.6843444589726786,0.7158138080697111,0.7019254974207215,0.31016186707629634,0.19586599674932137,7.77406454711952e-09,0.1251637667190677,0.19252957329349185,0.0009183789165779352,0.2254838767477739,0.13007100429026128,0.015302450986393703,0.3842382898282094,0.18042291075250957,0.016346854173682434,0.9787093432598278,0.7214737056196789,0.11776875714661773,0.8941820416376969,0.7217989687825744,0.013855651066613036,0.17649370368476455,0.2878250680235347,0.0005684410951874208,0.8558430082948245,0.016483068674098433,0.04488295341426468,0.03626848970563556,0.001145685581043149,0.3197430623182534,0.11121092412005582,0.8759485417512514,0.8632573578358204,0.12719220069668186,0.461686747785243,0.014322313919023432,0.6822891330400804,0.5938423518762781,0.3456128540726378,0.718950625529903,0.5041454543915788,0.0008911735274892012,0.6915043670545253,0.40725777122434736,0.052139482330986475,0.6744208891492168,0.7534593296966996,0.3362511652150871,0.7711018234307682,0.12974013821764793,0.5240231320444814,0.5556693281055206,8.641223807459849e-05,0.2526284471590764,0.2986128796070146,0.013537345795430073,0.2912643075608232,0.13550118412324125,0.1949199507669308,0.6603603991929577,0.18053425335831133,0.7573607194823356,0.618887936914372,0.0004365719485535406,0.18217076689879003,0.007506724341882285,0.676842623671957,0.9672854555247304,0.00069975776384459,0.16468496109255676,0.11843629183071473,7.835699222651508e-06,0.21770445277934156,0.4896335625583134,0.0014074821581122987,0.6452075153789084,0.8303749522446083,0.0003152350421311996,0.1341904675572118,0.20224807265339625,0.005002791189382237,0.6481481766924674,0.5268687282042643,0.3226376366095798,0.7535638518652101,0.4346136506737033,9.721467830059269e-05
Pvalue,CMA,0.860174737606683,0.6259469894246418,0.7646651428770639,0.08743092212894975,0.4644065951018389,0.044490419902482356,0.04920954266320282,0.6044897808642082,7.410153144787243e-05,0.00015821401543213268,3.0897848987227314e-05,6.885713280381437e-05,7.335264953536648e-05,0.13261547761770676,0.4609112197459542,0.4775832098333147,0.46390353816142704,9.739052622103017e-05,0.06881197529151578,0.02987554423502412,0.5032870118856722,0.044170831547437554,0.5095522939172755,0.40892393628901097,0.4202480209204187,0.17875566767393802,0.08399507464679998,0.11010323984833681,0.18877834443899402,3.497722444847807e-05,4.557000233874637e-05,0.018453216313835924,0.48946561162903907,0.1211194831120474,0.25405527463620825,0.2431150371992477,0.9004163749342491,0.07328083331476294,0.15463670348828415,3.967897457346691e-06,2.073908306644758e-06,0.01776027736591502,0.009112713139887922,0.14320031543121906,0.8417289677293689,0.7131055092766957,0.03387559138625527,0.8336854035177574,0.8824002366966188,0.47157223125734055,0.8201833435289831,0.7239524886114349,0.6336782062450547,0.009708827859974848,0.00648487300764953,0.48826937899386547,0.10294499792145057,0.46267029442746627,0.706743337331363,0.8947441715989342,0.6915091327450819,0.12996018462278744,0.11601461813566694,0.5094028819580041,0.0040370371445705225,0.0007521213225129136,0.3087093056005403,0.08069236459294758,0.010118174663980416,0.2139355361625241,0.0027291453640804183,0.8897981093911717,0.679321328900881,0.15695791384995264,0.6075648171408308,0.4386987346659566,0.7781551339848681,0.5732908405847154,0.5339765155363266,0.5727813879249022,0.8231392236315661,0.5837139106360434,0.8319806581691608,0.5154924552427498,0.5781749158521311,0.1768457377377369,0.25737070227634307,0.24268005934560988,0.8922798462507167,0.023204392681300808,0.021419219305711244,0.10805722985544645,0.3101286895783298,0.3821644695509078,0.11343943053923039
Pvalue,HML,6.81999098596204e-05,0.11996528193826725,0.7264540136108486,0.007034678085048664,0.7536544882093223,0.15968975941297334,0.1606945976945392,0.015196636673451634,2.6872794296987996e-34,5.091877191334164e-33,7.98363166619685e-24,0.0002322203308411499,0.000384991683423611,0.00025490038523271207,0.0014273758269907832,0.0020925686195729237,0.0009105672244518596,0.932665353054567,0.10745143448198942,0.5368192263748499,0.5342349322655291,0.1814394974598218,0.0180993795109764,0.14023953511011875,0.38299408412647845,0.026423272929912797,5.3876498231317243e-05,8.548519250311346e-05,0.0014364088452377818,0.02849267468234515,0.028688175056470932,0.5696023217024089,0.37569488081100116,0.9301893016254646,0.0018143302782549088,0.001956337991350332,0.17649953743304958,0.44557658230152974,0.05596459316774205,0.6516248444845535,0.5547844724331739,0.5164211038886104,0.47729409924041194,0.04323278102779047,3.830922890559873e-07,1.9761765803933125e-06,1.946540292054379e-09,0.03985174848635832,0.04066675663896784,0.19376315033937064,0.008060223204724003,0.011595193745357278,0.003041001525695175,0.000884633805445057,0.0014856433980117072,0.000992733441741757,0.25707905283065985,0.3876447123497109,0.17478251354729785,0.9534868042234506,0.09267330914666833,4.75399160906563e-09,5.035889066771156e-09,1.3009428024710585e-06,0.013238457966899545,0.060544538402890216,0.0011166173047482463,0.5043911012504592,0.28984265261472975,0.605195391194661,7.167278640917653e-06,0.09966656928862877,0.4846794461435845,0.0974982922207498,0.32211469033158524,0.5211523323994637,0.6768108405229384,5.39331382229751e-07,5.779395905078496e-07,0.8276105309833626,0.0009235770999373123,0.00539331403228096,5.773020183082191e-06,0.0007886094614465925,0.0017961757832200796,5.92165291066483e-07,0.1561520199771439,0.2004005094390314,0.006247921989530765,0.5247676363704178,0.5473139139403682,0.654884043017405,0.019936988023779335,0.03698734775327697,0.0008011386103918974
Pvalue,Mkt-RF,4.237523443893625e-36,9.790311264682846e-27,8.635780097445236e-23,3.926420098270317e-28,1.6408975176497674e-24,5.485412129835849e-27,2.5729088952420195e-20,1.3539165563866312e-45,9.280097836692861e-79,9.732334526789212e-78,3.299222641616432e-42,4.2759630686509515e-87,1.7846105150319217e-85,1.2115007597195574e-67,2.3952084647101206e-45,5.305675986602734e-43,1.7058288051884155e-50,3.112706287613558e-40,7.956233841831925e-19,1.4491190105987091e-30,1.3318651361796093e-44,4.283208374193499e-28,4.4681757011150964e-58,2.8522979719065447e-34,1.4569498525536168e-29,3.033359447251432e-38,2.336040334123727e-62,1.2486958072557477e-59,8.491869690448498e-51,3.982915606365458e-34,2.76726905679367e-32,3.719135100602129e-33,1.913898719352609e-51,9.590151499502033e-44,5.2536794588596e-47,3.068821182190763e-46,3.0857863985106087e-43,9.065451401379971e-30,5.45168227548634e-25,1.60469370577044e-22,2.6037423933601615e-19,5.2107555443226525e-24,1.8101586338483235e-27,8.006413659125117e-28,1.0011450157579533e-41,5.239737318844798e-39,9.443958099215684e-42,3.7774755614816625e-59,9.104274655714385e-57,1.6850639645449073e-63,8.832773074698173e-50,2.2024521063668456e-45,1.1384702360908452e-50,5.060912493582715e-43,7.388895939687573e-42,3.281107341015712e-36,1.0950296373819015e-19,9.5353573908436e-20,1.286725314248233e-43,1.109332482215849e-24,9.734321993329867e-28,1.774245055262269e-26,1.6531316981225734e-26,6.588459539866708e-21,7.284998916634342e-24,1.1070881273560733e-15,2.2676012534456108e-23,0.011982376192681181,0.018108351179499306,0.00028888473191427,1.6629100639701607e-50,1.638692565375613e-22,4.329810060177839e-22,5.664527616469865e-19,5.045247395119705e-31,1.5593000854985006e-23,1.765371565663833e-39,1.6237295408697414e-59,2.5279704876531007e-58,3.546885583927287e-46,1.3644822268585848e-40,1.6192317945358206e-24,5.566420717560901e-36,1.3889397988271243e-66,2.6367091580834686e-65,8.069066501699989e-53,3.5991721360976944e-67,6.059211671192524e-66,2.1470582003921828e-33,2.585701908738419e-22,6.249891273132231e-21,1.8273007468406e-28,6.695964310651338e-58,1.2555196536809547e-52,3.7778473049212006e-62
