,Aircraft,Aircraft - Small Cap,Almost Nothing,Apparel,Apparel - Small Cap,Automobiles and Trucks,Automobiles and Trucks - Large Cap,Automobiles and Trucks - Small Cap,Banking,Banking - Large Cap,Banking - Small Cap,Business Services,Business Services - Large Cap,Business Services - Small Cap,Chemicals,Chemicals - Large Cap,Chemicals - Small Cap,Communication,Communication - Large Cap,Communication - Small Cap,Computers,Computers - Large Cap,Computers - Small Cap,Construction,Construction - Large Cap,Construction - Small Cap,Construction Materials,Construction Materials - Large Cap,Construction Materials - Small Cap,Consumer Goods,Consumer Goods - Large Cap,Consumer Goods - Small Cap,Electrical Equipment,Electrical Equipment - Small Cap,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Entertainment - Small Cap,Food Products,Food Products - Large Cap,Food Products - Small Cap,Healthcare,Healthcare - Small Cap,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Measuring and Control Equipment - Large Cap,Measuring and Control Equipment - Small Cap,Medical Equipment,Medical Equipment - Large Cap,Medical Equipment - Small Cap,Non-Metallic and Industrial Metal Mining,Non-Metallic and Industrial Metal Mining - Small Cap,Personal Services,Personal Services - Large Cap,Personal Services - Small Cap,Petroleum and Natural Gas,Petroleum and Natural Gas - Large Cap,Petroleum and Natural Gas - Small Cap,Pharmaceutical Products,Pharmaceutical Products - Large Cap,Pharmaceutical Products - Small Cap,Precious Metals,Precious Metals - Large Cap,Precious Metals - Small Cap,Real Estate,Real Estate - Small Cap,Recreation,Recreation - Small Cap,"Restaurants, Hotels, Motels","Restaurants, Hotels, Motels - Large Cap","Restaurants, Hotels, Motels - Small Cap",Retail,Retail - Large Cap,Retail - Small Cap,Steel Works Etc,Steel Works Etc - Large Cap,Steel Works Etc - Small Cap,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Transportation - Large Cap,Transportation - Small Cap,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale,Wholesale - Large Cap,Wholesale - Small Cap
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,0.9076860366269794,0.8152631109726252,0.6005261887442783,0.8152613079878279,0.9528871040951601,0.6096721069972073,0.5025898856224833,1.1424218154780856,1.367896730118207,1.3429193828000021,1.4652878398864382,0.9122457059729111,0.8881186094974161,0.9604020090690276,1.0256653788801735,0.9825088162939182,1.4088755069199035,0.9044394238619489,0.5650032499041711,0.823860577484752,0.7627007948289363,0.616360517233563,0.8948276486863166,0.9192908942825574,0.9037003668053519,1.0173871838464146,1.4128070256679024,1.3429740679237563,1.2634771097504502,0.8845523918162919,0.841030420155612,1.1893305449250264,1.0275860725820303,0.8901643819768943,0.8358039628255903,0.8237203032997553,0.901058643343487,0.49839058993528573,0.7355690827801609,0.8093210621276423,0.7577231070090606,0.7669382705615457,0.6793793943228875,0.7171979103686081,0.9885954270623345,0.9518328264931545,0.9340470693395944,1.2304999501234897,1.185184058655965,1.309285923547587,0.9035380561108599,0.8521816937618547,0.8218772996919803,0.6710388019484126,0.6364244884740272,0.7723263388076449,0.605662430319943,0.6176477716506265,0.9268265365641933,0.7258706471660576,0.6919807181486828,0.9010892827190482,0.9028358686623117,0.927269246030435,0.5538958377861026,0.5208452611373056,0.44940447334691247,0.35821417082289253,0.39565915604505125,0.4173765710425348,1.161867906772719,0.7669169823602056,0.7824876045767336,0.8224135567536373,0.8227932100268541,0.7067262063677872,0.9508860502875115,0.8542276908363055,0.8170445832716404,1.2860200952843335,1.0140136935974278,0.8683038478105503,1.0867432211338897,1.1722246512835914,1.1509492204363139,1.2057636670931826,1.1376561582554754,1.1188768863457998,0.9563421515958479,0.7072023463317157,0.6792434919323014,0.715394282148276,1.3499157386854705,1.242941486285606,1.5721183037745834
std,2.7928290787223142,2.3827190179949618,2.0419160800933893,2.4655273270308586,2.490789914453548,2.3401685147837696,1.9834772098725828,3.5588999597089885,6.308708531771199,6.218545559719377,4.229102629892481,6.521466971688271,6.398578121881782,5.463953715467243,3.3373112781473155,3.184337179648471,4.0214985781516175,3.052402435174253,1.9910359920382263,2.525144370848555,3.265208753555531,2.6504923341416635,4.238834540427067,2.7055126185984975,2.456713247311407,3.133754013046221,4.518799284682238,4.290633040342648,3.918476909562466,2.924955051403475,2.8294234515256265,3.169317855702929,3.7585355436543533,3.501941584099587,3.4974219018699384,3.4562409119877415,3.64917601652661,2.4906228157587913,2.298239597042496,2.1450005428182997,2.023386370889699,2.1348362012136404,2.3522068025779475,2.6341262282530034,3.1602273330537294,2.9896603426807538,3.329355486213934,4.1675454193879915,4.002123271408924,4.7950442318248925,3.634154875742308,3.3515639714622645,3.8178030646611836,3.2827795065608716,3.2292983058343045,3.090022258088982,1.8093584686046615,1.8639711886465828,3.214746879296336,2.2900912877436235,2.5020040729469186,2.3997280364984457,2.396616096233806,2.1449084067385695,2.167864673153041,1.7509801385329749,2.61793937513809,0.595747928573029,0.7364503722330588,0.7238443076088132,3.8267244128329865,2.2691679369440916,2.0268597455414086,2.2472423038210225,2.540727260530973,2.168854393382737,3.19320771695975,4.342305500877418,4.269845512214773,3.9853908453162497,3.060230755524386,2.2637280347024547,3.11277139647528,4.704053329591361,4.606777683299505,4.05455802846226,4.736080488442577,4.642945358561904,2.8116695795404296,1.990649483736285,1.9257306547145592,2.3300842898570404,4.116831683444448,3.755687876314736,4.827517741348333
min,-0.17638716261567006,-0.48855848855351236,-1.1204639848060065,-2.7243406120198013,-2.083732270881854,-2.022637924895254,-1.9807855065712525,-3.492742220394346,-5.202597166714801,-5.360963851362622,-4.267967186543497,-4.9558943276682985,-5.568072076125375,-6.040140566804002,-1.5401416399158958,-1.3077031322769186,-3.3665953553396393,-1.2159637710288727,-1.5265119570829029,-2.4469418910217104,-0.8720984523007989,-2.0347989470193686,-2.422295688727416,-0.8275916169690983,-0.8078520503376418,-1.5712232300453137,-1.7369295490296388,-1.6051162825666023,-2.483674914243024,-2.207006425232947,-2.2042619221090436,-3.504599277878766,-0.8879090399812587,-2.419184805423592,-3.1629555145564963,-3.13980136873173,-3.301504231252241,-2.4847888290351428,-1.6001050724137982,-0.5583108636720596,-1.275390331885127,-1.5318692265587566,-1.8097144506140894,-2.4714686779424206,-0.2738675592836484,-0.214994587109439,-2.1367719425698395,0.0,0.0,-3.375372131757441,-2.677331793911219,-2.5485527721597863,-3.001559112570828,-3.3775192102392095,-3.223749854625228,-3.3437912113447212,-0.8913498619329787,-1.5221734716262885,-0.6383183854377155,-0.1325867157074934,-4.010946829893675,-1.1474199806308858,-1.0422212185847448,-2.492212251949409,-2.50039309149615,-1.8913523868196414,-4.854879713598077,-0.6688488932283986,-1.0624330346096216,-0.5177934598236201,-3.0359109155564328,-3.5787922479543646,-1.3389731901319661,-2.717016446673171,-0.9926679734397266,-0.6431568382526158,-3.445326041057132,-5.186418542768328,-5.1717220551928,-4.594027405300232,-1.2366913662782184,0.0,-3.2400392117283268,-0.651509840633144,-0.5569968616103889,-3.6687461648141673,-1.5040992327496616,-1.2795256143458245,-2.8394821030247113,-1.0203875842583259,-1.3547672057992481,-0.9915930339175375,0.0,0.0,-3.980723134050837
25%,3.178142582920219e-36,0.0043462440958980265,0.001843993111122687,0.002576747939533954,0.00016341945353657347,0.0,0.0,0.012150473175541809,-0.00013979693255283427,-0.00012902477333435016,6.00581608616887e-24,-0.025424994874014305,-0.02156977580727676,-0.0024936708085295843,0.020448669797390528,0.029718512832845583,0.002066626246375471,2.3345297157101685e-40,0.0,0.0023027163322992517,0.0,0.0,-0.0012470967750824221,2.1392234789299083e-34,0.0031448227379565897,8.891907706442337e-12,4.040804609674785e-05,0.0017978732971354553,0.0022599533870908627,2.9871867047740933e-34,2.0754517925952526e-32,0.00043143035991769033,0.0,0.0,3.9402595941447005e-47,2.301615886643072e-46,-0.002212448208972733,0.0,4.088761706614755e-25,0.0,1.5554312299836336e-06,0.01391171747801089,0.0,1.0224526237926634e-09,0.0006119151387062173,0.0008488705986287952,7.082968574411764e-42,0.03698143880460618,0.03567506610337947,2.378564554830685e-19,0.0006345678422829779,0.0014121401865365647,-0.001119156073034549,-0.00021461134130432337,-0.00016444448976119896,2.460830505761784e-36,0.0,7.1515180431327e-20,9.650439856861747e-44,0.0,2.31857514991408e-05,0.0026233145472950867,0.0025917727937845355,0.011530107238311871,0.0,0.0,-0.001014492798698083,0.0,0.006560702987018511,0.0,5.379611199124402e-06,6.957458090833748e-08,0.003899917129834436,0.002496909833230568,0.0007158826786521081,0.0,4.718006668949307e-10,0.0,0.0,5.876774416988631e-06,0.0037504553095678546,0.05133320844916042,4.174815538170676e-36,0.0,0.0,4.4416272048542023e-07,0.0013027901396701336,0.001334910125310936,0.0020485589589432926,0.017945949782934206,0.016617972405393887,0.0016503811596828948,0.03395732789752532,0.04050226662675287,0.00180226658432466
50%,0.13932896623323043,0.1848420382287938,0.1203003290167517,0.1927931859227292,0.2074346997002678,0.18269088997897928,0.1520027772571171,0.2135118893243793,0.044409030537564995,0.045771858897356896,0.10001854274740855,0.015905644479598764,0.016457312680015955,0.053398223012682614,0.1356894077765612,0.17234809994787914,0.35886496621741404,0.09044267686971882,0.12812706018850845,0.1541059468785198,0.08648900890373301,0.17030902161504063,0.06658980284901839,0.16652024417126615,0.29321132632752334,0.16417074887576072,0.11717624004842314,0.19773973008786846,0.17232153471501727,0.09134852521141498,0.09372331197025965,0.30925349251599277,0.10310321557189264,0.102248164402196,0.10883822048361277,0.11020104263272876,0.08667542584073912,0.11738676817493493,0.15414248754282378,0.0958980638859366,0.12290931942925024,0.14137032464326185,0.1149468598319387,0.1421898785691705,0.11348227408892232,0.12077054124339873,0.08945998748944725,0.19732158066836178,0.16915179602635236,0.11142830989206287,0.10096325482863042,0.10750765719085274,0.05362808479658839,0.06597580113104286,0.06116583762529679,0.09903069291110672,0.23299824792671409,0.24125173742239692,0.1261357481424154,0.1391365414905767,0.1551154667704839,0.1994792315659687,0.19708076140623723,0.4122362807526756,0.09508895195888242,0.08539050456881113,0.10088213807655745,0.23517484169103056,0.23030183318040576,0.2717035953939091,0.11862165503152163,0.19607660464022034,0.20616261977268335,0.21508332777428535,0.12987363012893843,0.11838502999956525,0.13949921638568002,0.07105741522772813,0.07216870175621923,0.1406206837628186,0.21177193132452574,0.29197814703714203,0.17009687765826131,0.06923196410621074,0.06133781334668116,0.11378347273367956,0.11314676920949995,0.11787821384436986,0.16613842984167426,0.19588796158409089,0.15662314137016645,0.11186173493782131,0.28080979215943347,0.2564908137645542,0.19599669817284537
75%,0.7880700472009026,0.6657723328887614,0.4649108052941179,1.0,1.0,0.577118032684945,0.5331720581105521,1.0,0.8943616719405285,0.9182964350794234,0.8703304247870669,0.885080325394551,0.879687891553997,0.9125529261857092,0.8041182496843544,0.7836860560764816,1.0,0.685259725930487,0.46835063165003554,0.9045456490234056,0.5563442642932823,0.6058369107329253,0.7946827672172637,0.7264641068597569,0.7597412144602834,1.0,1.0,1.0,1.0,0.6207232507164158,0.617592167053403,1.0,0.7662857326297057,0.8020107696806102,0.7736213064889406,0.7689527075990499,0.9253122812006869,0.47511930335795993,0.6211273640140386,0.6059082381548249,0.57826857048541,0.6529264719261164,0.5459320229035338,1.0,0.6920730808886831,0.6816355217790027,0.7551383811923582,0.8079631627838447,0.80790468175442,0.8673177192847836,0.7336210097234583,0.7295481161618456,0.6662615168539835,0.6435557553367653,0.6240589326496888,0.6984274812857776,0.5167419570967199,0.5158817487302276,0.7004692691304413,0.6361887561016317,0.6277339779644965,0.6890508616915199,0.6849625670095137,1.0,0.4520790513249233,0.4147630014568948,0.7058786623744796,0.4850004296886876,0.5544221289370692,0.6167472038087762,0.9578699585026647,0.935020333444638,0.684530952213801,1.0,0.5667020965324994,0.6058645214215734,0.7860802076534708,0.7770089579948644,0.5925563129131447,1.0,0.8673544177236746,0.6750635483467131,1.0,0.8226293782319645,0.8143614482903702,1.0,0.8184981713003779,0.8108893638151373,0.9757809869396976,0.5921372110305692,0.5735112349338074,0.5315969757110888,1.0,0.9164175169273213,1.0
max,15.622530472634034,13.466573092667563,11.501044678631912,12.989564964296465,11.788489804342927,12.610914619088437,10.52651971429666,18.83592010324351,31.843360702200247,31.384513192018883,17.674420513206197,35.76847030622786,34.979719397451625,27.075506738622195,18.75025503890682,17.94483348368729,20.555918727667812,17.005832839565134,10.982790511050691,13.792320753293149,18.493309053404623,14.665357344472262,23.331064789622587,15.016147829565659,13.658972585273402,16.337910180854433,24.970176627468984,23.919370520530094,20.663999307990576,14.96815008942863,14.359445195106288,14.647302565787928,20.89559463361162,18.19890331349181,19.326125462380578,19.059364068547023,18.025227980917208,13.529699532921233,11.947990049358193,11.121267965459923,10.02622885761088,11.620887494470347,12.770210868336521,12.887326744500196,17.510659458667167,16.593441742772875,17.519259281941757,23.736566017769935,22.840835109299,25.417055167318658,20.301962417439057,18.762846507121395,20.61854824127052,17.951835824748958,17.555434909074975,15.659466785375956,10.15611316037543,10.277549155466879,18.15517752720462,13.03949726115594,12.859278078883102,12.442065792014372,12.452241759671416,10.574463567087479,11.572210538609891,8.99315969828675,11.407004743398918,2.5366810163796907,2.6066779053993994,3.692576029774415,20.559863333207247,11.118198751347586,10.991013909667142,10.509980908354056,13.943446347525478,12.055616226482528,16.75211360223219,23.875937030725908,23.424250147337336,19.03753392556454,17.126676155420647,12.812251537317332,15.583154999405545,26.64580064324866,26.13250582795826,21.391126881642062,26.883200383372554,26.388225225988865,14.726158576244897,11.051386664126932,10.582274288101175,13.09926850956255,23.264989513854676,21.32165590332407,24.888932401367047
